DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,52.50,BVH,52.20,53.90,52.20,622640.00
16/11/2017,52.20,BVH,52.50,52.60,51.70,386170.00
15/11/2017,52.50,BVH,53.00,53.00,52.40,269160.00
14/11/2017,53.10,BVH,53.50,53.60,52.80,307850.00
13/11/2017,52.90,BVH,52.00,53.50,52.00,514670.00
10/11/2017,52.00,BVH,51.50,52.70,51.50,398450.00
09/11/2017,51.60,BVH,51.50,52.90,51.50,317590.00
08/11/2017,51.50,BVH,51.30,51.80,51.30,287410.00
07/11/2017,51.30,BVH,51.10,51.80,51.10,193570.00
06/11/2017,51.10,BVH,50.40,51.90,50.00,218720.00
03/11/2017,50.40,BVH,49.10,50.40,49.00,147110.00
02/11/2017,49.50,BVH,50.10,50.60,49.50,136270.00
01/11/2017,50.60,BVH,49.70,50.90,49.40,305020.00
31/10/2017,50.00,BVH,51.70,51.70,49.60,645780.00
30/10/2017,51.70,BVH,53.70,54.30,51.70,322400.00
27/10/2017,53.00,BVH,54.50,54.50,53.00,220320.00
26/10/2017,54.50,BVH,54.80,54.80,53.80,183450.00
25/10/2017,54.40,BVH,53.70,54.60,53.70,122460.00
24/10/2017,53.70,BVH,54.00,55.00,53.60,166020.00
23/10/2017,54.00,BVH,55.00,55.00,53.80,306530.00
20/10/2017,55.00,BVH,56.10,56.10,54.80,388740.00
19/10/2017,56.10,BVH,56.10,57.00,56.10,216520.00
18/10/2017,56.10,BVH,56.00,56.50,55.70,334570.00
17/10/2017,55.70,BVH,55.60,56.30,55.60,169220.00
