DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,32.50,CII,32.50,32.80,32.00,1501900.00
16/11/2017,32.60,CII,32.35,32.70,32.10,3228780.00
15/11/2017,32.45,CII,31.60,32.50,31.60,2497220.00
14/11/2017,31.35,CII,31.15,31.70,31.05,2776140.00
13/11/2017,31.15,CII,31.00,31.60,31.00,2111360.00
10/11/2017,31.00,CII,30.70,31.30,30.60,830760.00
09/11/2017,30.70,CII,31.00,31.40,30.55,2950110.00
08/11/2017,31.00,CII,31.15,31.65,30.95,5548330.00
07/11/2017,31.50,CII,31.40,31.50,30.85,1064940.00
06/11/2017,31.40,CII,31.45,31.45,30.95,1330150.00
03/11/2017,31.45,CII,31.60,31.70,31.35,979370.00
02/11/2017,31.70,CII,31.60,32.00,31.35,1158190.00
01/11/2017,31.60,CII,31.80,31.80,31.30,999140.00
31/10/2017,31.90,CII,32.00,32.20,31.85,257600.00
30/10/2017,32.00,CII,32.60,32.60,31.95,775730.00
27/10/2017,32.60,CII,33.00,33.00,31.95,848790.00
26/10/2017,33.10,CII,33.95,34.10,33.00,394940.00
25/10/2017,33.95,CII,34.50,34.50,33.60,170390.00
24/10/2017,34.60,CII,33.70,34.60,33.00,494750.00
23/10/2017,33.70,CII,33.75,33.75,32.85,578260.00
20/10/2017,33.40,CII,34.00,34.40,33.40,331780.00
19/10/2017,34.00,CII,34.50,34.50,33.60,190590.00
18/10/2017,34.50,CII,35.20,35.20,32.75,1503390.00
17/10/2017,35.20,CII,35.40,35.40,34.80,772570.00
