DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,56.70,FPT,57.30,57.30,55.90,3930560.00
16/11/2017,57.00,FPT,57.40,58.70,56.60,3733760.00
15/11/2017,56.90,FPT,54.10,57.00,54.00,4665890.00
14/11/2017,53.90,FPT,54.50,55.50,53.50,4332100.00
13/11/2017,54.00,FPT,52.20,54.80,51.90,4769280.00
10/11/2017,52.20,FPT,52.50,53.30,52.20,1369700.00
09/11/2017,52.60,FPT,53.40,53.50,52.40,1720600.00
08/11/2017,53.00,FPT,51.20,53.00,51.00,3385930.00
07/11/2017,51.20,FPT,51.50,51.50,50.90,1141790.00
06/11/2017,51.40,FPT,51.40,51.80,50.90,1608490.00
03/11/2017,51.00,FPT,50.00,51.00,49.40,1200390.00
02/11/2017,50.50,FPT,50.90,51.40,49.80,1244900.00
01/11/2017,50.80,FPT,50.50,51.00,50.40,907980.00
31/10/2017,50.40,FPT,50.00,51.40,49.60,1618160.00
30/10/2017,50.00,FPT,50.20,50.80,49.90,1707190.00
27/10/2017,50.20,FPT,49.40,50.20,49.15,734980.00
26/10/2017,49.60,FPT,49.80,49.90,49.00,1089860.00
25/10/2017,49.70,FPT,49.50,49.80,49.30,768500.00
24/10/2017,49.30,FPT,49.30,49.80,49.15,879390.00
23/10/2017,49.30,FPT,50.30,50.30,49.30,1116150.00
20/10/2017,50.30,FPT,50.30,50.70,50.00,767080.00
19/10/2017,50.60,FPT,50.50,51.20,50.10,977340.00
18/10/2017,50.50,FPT,51.40,51.90,50.50,1237160.00
17/10/2017,51.50,FPT,51.50,51.50,50.90,861260.00
