DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,79.40,GAS,79.90,80.30,78.70,621920.00
16/11/2017,79.90,GAS,79.20,80.10,78.80,524770.00
15/11/2017,79.70,GAS,79.00,79.70,78.50,449990.00
14/11/2017,80.00,GAS,79.90,80.60,78.50,491250.00
13/11/2017,79.50,GAS,76.80,79.50,76.30,678800.00
10/11/2017,76.80,GAS,76.80,77.10,76.00,522740.00
09/11/2017,76.80,GAS,76.00,77.00,75.80,545450.00
08/11/2017,76.60,GAS,74.90,77.00,74.90,693240.00
07/11/2017,74.70,GAS,76.20,76.40,74.70,649940.00
06/11/2017,75.00,GAS,74.00,75.50,73.80,499030.00
03/11/2017,73.50,GAS,72.60,73.50,72.40,571850.00
02/11/2017,72.60,GAS,73.30,73.80,71.80,735730.00
01/11/2017,73.00,GAS,72.70,73.30,72.00,838420.00
31/10/2017,71.50,GAS,72.90,73.90,71.50,927460.00
30/10/2017,72.90,GAS,70.20,73.80,70.20,2168000.00
27/10/2017,69.30,GAS,68.60,69.30,67.90,273010.00
26/10/2017,68.60,GAS,69.70,69.90,68.50,519670.00
25/10/2017,69.80,GAS,69.60,70.20,69.20,455400.00
24/10/2017,69.70,GAS,67.80,69.70,67.50,704810.00
23/10/2017,68.10,GAS,70.80,71.00,68.10,626330.00
20/10/2017,70.70,GAS,70.00,71.80,70.00,642160.00
19/10/2017,70.30,GAS,69.50,70.70,69.50,634880.00
18/10/2017,69.50,GAS,69.50,70.90,69.00,617790.00
17/10/2017,69.40,GAS,69.50,69.80,68.90,310840.00
