DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,37.80,KDC,38.50,38.65,37.55,307180.00
16/11/2017,38.55,KDC,37.90,38.80,37.90,366080.00
15/11/2017,37.55,KDC,36.80,38.00,36.80,293190.00
14/11/2017,36.50,KDC,36.30,37.20,36.30,295970.00
13/11/2017,36.30,KDC,36.35,36.75,36.20,415340.00
10/11/2017,36.80,KDC,36.80,36.80,36.00,353900.00
09/11/2017,36.80,KDC,36.95,37.00,36.30,324390.00
08/11/2017,37.10,KDC,36.80,37.20,36.80,188790.00
07/11/2017,37.20,KDC,37.50,37.50,36.60,271750.00
06/11/2017,37.50,KDC,37.30,37.50,36.90,264960.00
03/11/2017,37.30,KDC,37.30,37.90,37.00,135430.00
02/11/2017,37.30,KDC,36.50,37.30,36.40,319060.00
01/11/2017,36.70,KDC,37.05,37.05,36.50,435910.00
31/10/2017,37.05,KDC,37.00,37.30,36.90,306980.00
30/10/2017,37.00,KDC,37.30,37.50,36.80,403920.00
27/10/2017,37.00,KDC,36.80,37.25,35.90,500630.00
26/10/2017,37.00,KDC,37.50,38.00,36.90,406950.00
25/10/2017,37.50,KDC,38.40,38.40,37.50,117780.00
24/10/2017,38.30,KDC,38.00,38.30,37.80,128920.00
23/10/2017,38.20,KDC,38.00,38.40,37.80,362930.00
20/10/2017,38.60,KDC,38.65,38.75,38.00,243130.00
19/10/2017,38.65,KDC,38.60,38.95,38.55,336070.00
18/10/2017,38.20,KDC,38.10,38.20,37.60,561290.00
17/10/2017,38.25,KDC,38.40,38.70,37.95,322130.00
