DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,58.00,MSN,57.90,61.00,57.00,542720.00
16/11/2017,59.00,MSN,56.10,59.00,55.10,391640.00
15/11/2017,56.50,MSN,57.60,58.00,56.50,463660.00
14/11/2017,58.00,MSN,58.90,58.90,57.50,369480.00
13/11/2017,59.00,MSN,59.90,59.90,58.00,292440.00
10/11/2017,59.50,MSN,60.10,60.20,59.00,251050.00
09/11/2017,59.40,MSN,59.90,60.00,58.00,658890.00
08/11/2017,59.90,MSN,59.90,60.00,59.60,384980.00
07/11/2017,59.90,MSN,60.20,60.20,59.70,462090.00
06/11/2017,60.20,MSN,59.50,61.00,59.40,639960.00
03/11/2017,60.20,MSN,60.10,60.20,59.00,557610.00
02/11/2017,60.10,MSN,60.00,60.70,60.00,846060.00
01/11/2017,60.00,MSN,59.80,60.00,58.50,502670.00
31/10/2017,59.50,MSN,60.00,60.10,57.00,766150.00
30/10/2017,60.00,MSN,58.50,60.00,58.30,859390.00
27/10/2017,58.50,MSN,57.10,58.50,56.70,347960.00
26/10/2017,57.20,MSN,56.70,57.20,56.00,377350.00
25/10/2017,56.50,MSN,55.30,56.50,55.30,213160.00
24/10/2017,56.00,MSN,56.00,56.00,55.10,492650.00
23/10/2017,56.00,MSN,55.00,56.40,54.60,292140.00
20/10/2017,56.50,MSN,56.00,56.50,55.80,1605470.00
19/10/2017,56.00,MSN,57.00,57.00,56.00,2887020.00
18/10/2017,56.70,MSN,56.10,57.00,56.10,1563110.00
17/10/2017,56.20,MSN,57.10,57.30,56.20,2651810.00
