DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,30.80,NT2,31.00,31.10,30.70,256370.00
16/11/2017,31.10,NT2,31.40,31.40,30.90,303530.00
15/11/2017,31.40,NT2,31.15,31.60,31.15,285400.00
14/11/2017,31.60,NT2,30.80,31.60,30.60,567400.00
13/11/2017,30.40,NT2,30.70,30.70,30.30,349600.00
10/11/2017,30.65,NT2,30.20,30.65,30.20,236260.00
09/11/2017,30.40,NT2,29.80,30.60,29.80,363610.00
08/11/2017,30.00,NT2,30.15,30.35,29.95,810040.00
07/11/2017,30.20,NT2,30.35,30.40,30.00,166320.00
06/11/2017,30.35,NT2,29.90,30.65,29.90,873810.00
03/11/2017,30.10,NT2,30.00,30.50,29.95,1184110.00
02/11/2017,30.00,NT2,30.20,30.30,29.90,360180.00
01/11/2017,30.00,NT2,29.95,30.55,29.90,349680.00
31/10/2017,29.95,NT2,29.30,29.95,29.20,421330.00
30/10/2017,29.95,NT2,30.20,30.30,29.50,611040.00
27/10/2017,31.00,NT2,29.70,31.00,29.70,618410.00
26/10/2017,29.70,NT2,29.55,29.80,29.10,135540.00
25/10/2017,29.75,NT2,29.50,30.10,29.40,363770.00
24/10/2017,29.40,NT2,28.60,29.50,28.30,451880.00
23/10/2017,28.50,NT2,27.90,28.50,27.90,217480.00
20/10/2017,28.35,NT2,28.30,28.40,28.20,218530.00
19/10/2017,28.60,NT2,28.50,28.70,28.20,269040.00
18/10/2017,28.30,NT2,28.65,28.70,28.30,442440.00
17/10/2017,28.65,NT2,29.10,29.10,28.50,374790.00
