DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,17.40,PVD,17.85,18.10,17.30,3740480.00
16/11/2017,17.85,PVD,17.10,17.90,17.10,3480990.00
15/11/2017,17.20,PVD,17.00,17.30,16.80,5398860.00
14/11/2017,17.50,PVD,17.85,18.10,17.30,5252720.00
13/11/2017,17.80,PVD,17.10,17.90,16.90,4553140.00
10/11/2017,17.10,PVD,16.90,17.50,16.80,4524960.00
09/11/2017,16.80,PVD,16.60,16.80,16.40,3824550.00
08/11/2017,16.80,PVD,16.70,17.20,16.65,4033130.00
07/11/2017,16.90,PVD,16.40,17.15,16.35,8715810.00
06/11/2017,16.10,PVD,16.45,16.65,16.10,7702940.00
03/11/2017,16.00,PVD,15.55,16.00,15.35,4389110.00
02/11/2017,15.40,PVD,15.60,15.70,15.25,4388050.00
01/11/2017,15.65,PVD,15.10,15.90,15.00,7452410.00
31/10/2017,14.90,PVD,14.85,15.15,14.75,2925450.00
30/10/2017,14.85,PVD,15.30,15.30,14.80,3471400.00
27/10/2017,14.80,PVD,14.70,14.80,14.60,1841620.00
26/10/2017,14.45,PVD,14.40,14.65,14.30,1749460.00
25/10/2017,14.35,PVD,14.65,14.70,14.30,1491820.00
24/10/2017,14.30,PVD,14.30,14.45,14.25,1042360.00
23/10/2017,14.30,PVD,14.85,14.90,14.20,2226900.00
20/10/2017,14.85,PVD,15.15,15.15,14.80,2993080.00
19/10/2017,15.10,PVD,14.90,15.25,14.70,2589790.00
18/10/2017,14.80,PVD,14.70,15.10,14.60,3062150.00
17/10/2017,14.60,PVD,14.75,14.75,14.55,1663340.00
