DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,34.80,REE,35.50,35.60,34.75,1277730.00
16/11/2017,35.25,REE,34.60,35.40,34.55,1892460.00
15/11/2017,34.40,REE,33.80,34.40,33.80,873840.00
14/11/2017,33.80,REE,33.70,34.25,33.00,1612590.00
13/11/2017,33.50,REE,33.80,33.90,33.45,808190.00
10/11/2017,33.90,REE,33.95,34.00,33.65,756430.00
09/11/2017,33.90,REE,33.00,34.35,33.00,1784450.00
08/11/2017,33.00,REE,33.00,33.15,32.80,1044840.00
07/11/2017,33.00,REE,33.45,33.45,32.95,869710.00
06/11/2017,33.25,REE,32.95,33.45,32.90,459010.00
03/11/2017,32.70,REE,32.00,32.95,31.90,931290.00
02/11/2017,32.00,REE,33.50,33.95,31.75,1897150.00
01/11/2017,33.70,REE,33.90,34.40,33.40,963110.00
31/10/2017,34.20,REE,34.30,34.40,33.70,748370.00
30/10/2017,34.45,REE,35.50,35.50,34.45,1595770.00
27/10/2017,35.00,REE,33.20,35.00,33.00,2230410.00
26/10/2017,33.50,REE,33.70,33.95,33.10,425290.00
25/10/2017,33.70,REE,33.50,34.00,33.20,707460.00
24/10/2017,33.50,REE,33.65,33.70,32.85,1829490.00
23/10/2017,33.70,REE,34.40,34.50,33.70,1187840.00
20/10/2017,34.50,REE,34.90,34.90,34.25,963830.00
19/10/2017,34.75,REE,35.00,35.00,34.70,337970.00
18/10/2017,34.90,REE,35.30,35.45,34.80,1170790.00
17/10/2017,35.10,REE,34.90,35.30,34.60,1519000.00
