DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,11.75,STB,12.00,12.15,11.65,4020830.00
16/11/2017,12.00,STB,11.40,12.05,11.40,7844650.00
15/11/2017,11.45,STB,11.20,11.45,11.15,2355030.00
14/11/2017,11.15,STB,11.20,11.30,11.15,1577250.00
13/11/2017,11.20,STB,11.50,11.50,11.20,995580.00
10/11/2017,11.40,STB,11.10,11.45,11.10,1951220.00
09/11/2017,11.15,STB,11.20,11.25,11.10,594710.00
08/11/2017,11.20,STB,11.20,11.25,11.15,1168460.00
07/11/2017,11.20,STB,11.25,11.25,11.15,754030.00
06/11/2017,11.20,STB,11.25,11.25,11.10,912390.00
03/11/2017,11.10,STB,11.35,11.35,11.10,700700.00
02/11/2017,11.30,STB,11.30,11.30,11.10,1035130.00
01/11/2017,11.20,STB,11.15,11.20,11.05,1126140.00
31/10/2017,11.00,STB,11.25,11.25,11.00,1572270.00
30/10/2017,11.25,STB,11.40,11.40,11.15,1498710.00
27/10/2017,11.35,STB,11.30,11.35,11.10,1152360.00
26/10/2017,11.35,STB,11.35,11.35,11.10,1787310.00
25/10/2017,11.30,STB,11.30,11.40,11.30,909250.00
24/10/2017,11.30,STB,11.40,11.40,11.20,1902950.00
23/10/2017,11.30,STB,11.45,11.50,11.25,1899440.00
20/10/2017,11.55,STB,11.55,11.55,11.45,1585160.00
19/10/2017,11.50,STB,11.40,11.60,11.35,2164080.00
18/10/2017,11.40,STB,11.55,11.55,11.40,2845200.00
17/10/2017,11.45,STB,11.60,11.60,11.45,3036700.00
