DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,71.40,VIC,70.20,72.00,69.90,1572620.00
16/11/2017,69.90,VIC,68.00,69.90,68.00,1449350.00
15/11/2017,69.00,VIC,68.60,69.50,67.30,2415870.00
14/11/2017,68.60,VIC,68.50,69.50,67.40,1697460.00
13/11/2017,68.60,VIC,66.00,68.60,65.30,1213210.00
10/11/2017,66.00,VIC,67.80,70.00,65.30,2037660.00
09/11/2017,68.60,VIC,67.50,70.00,67.00,1902810.00
08/11/2017,65.50,VIC,64.00,65.60,62.50,2031740.00
07/11/2017,62.00,VIC,60.80,62.50,60.30,1645400.00
06/11/2017,60.50,VIC,60.40,60.80,60.00,1023210.00
03/11/2017,60.20,VIC,59.90,60.60,59.00,1227960.00
02/11/2017,60.00,VIC,58.60,60.00,58.50,1396970.00
01/11/2017,58.60,VIC,58.60,58.80,58.20,1443760.00
31/10/2017,58.50,VIC,58.30,58.80,57.70,1225710.00
30/10/2017,58.00,VIC,57.40,58.50,57.10,1520110.00
27/10/2017,57.00,VIC,55.80,57.40,55.20,1881040.00
26/10/2017,55.30,VIC,55.30,55.40,53.00,1424800.00
25/10/2017,55.30,VIC,55.50,55.60,55.00,639470.00
24/10/2017,55.50,VIC,55.50,55.80,54.70,1015940.00
23/10/2017,55.40,VIC,55.40,55.60,55.00,1042390.00
20/10/2017,55.30,VIC,55.00,55.80,54.60,1699930.00
19/10/2017,55.00,VIC,54.90,55.20,54.50,652270.00
18/10/2017,54.90,VIC,55.30,55.70,54.90,645210.00
17/10/2017,55.30,VIC,54.80,55.80,54.50,611740.00
