DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,183.20,VNM,183.20,183.90,182.20,645550.00
16/11/2017,183.20,VNM,181.00,184.00,180.20,637980.00
15/11/2017,181.80,VNM,175.80,184.00,175.80,1215870.00
14/11/2017,180.00,VNM,181.00,182.20,175.00,1489540.00
13/11/2017,184.50,VNM,175.00,185.20,174.00,4495140.00
10/11/2017,173.80,VNM,162.30,173.80,162.00,9270450.00
09/11/2017,162.50,VNM,160.20,163.00,159.30,2051860.00
08/11/2017,160.20,VNM,157.80,160.60,157.80,2431670.00
07/11/2017,157.80,VNM,158.00,158.50,157.00,561000.00
06/11/2017,158.00,VNM,155.20,158.00,155.20,1120090.00
03/11/2017,155.20,VNM,155.90,156.00,153.50,469800.00
02/11/2017,155.90,VNM,155.00,157.80,154.20,1117310.00
01/11/2017,155.00,VNM,151.00,155.50,151.00,1499790.00
31/10/2017,151.00,VNM,151.90,151.90,151.00,962120.00
30/10/2017,151.90,VNM,152.60,152.60,151.60,557510.00
27/10/2017,152.40,VNM,152.00,152.40,151.80,768310.00
26/10/2017,151.80,VNM,150.60,151.90,150.60,974570.00
25/10/2017,150.50,VNM,149.00,150.60,149.00,904450.00
24/10/2017,149.00,VNM,147.90,149.00,147.60,676220.00
23/10/2017,148.00,VNM,148.50,148.50,147.80,589480.00
20/10/2017,148.50,VNM,148.60,148.80,148.50,260000.00
19/10/2017,148.80,VNM,149.00,149.00,148.50,387120.00
18/10/2017,149.00,VNM,149.00,149.60,149.00,385670.00
17/10/2017,149.10,VNM,148.60,149.20,148.50,398020.00
