DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,38.20,HPG,38.60,38.70,37.95,2824720.00
16/11/2017,38.65,HPG,38.70,39.20,38.50,3823530.00
15/11/2017,38.75,HPG,37.50,38.90,37.45,5923670.00
14/11/2017,37.40,HPG,36.80,37.80,36.60,3223090.00
13/11/2017,36.65,HPG,37.25,37.25,36.30,2541840.00
10/11/2017,37.25,HPG,37.20,37.25,36.90,2695850.00
09/11/2017,37.05,HPG,37.20,37.25,36.95,2984290.00
08/11/2017,37.05,HPG,36.90,37.30,36.65,4626280.00
07/11/2017,36.90,HPG,37.00,37.00,36.60,2598200.00
06/11/2017,36.90,HPG,36.50,37.05,36.40,2911740.00
03/11/2017,36.20,HPG,35.00,36.20,34.80,3961010.00
02/11/2017,34.80,HPG,35.70,36.20,34.80,4642790.00
01/11/2017,35.70,HPG,36.80,36.90,35.65,5695800.00
31/10/2017,37.00,HPG,36.80,37.40,36.30,3596630.00
30/10/2017,36.80,HPG,37.80,37.80,36.80,3182530.00
27/10/2017,37.70,HPG,37.05,37.70,36.90,2307070.00
26/10/2017,37.00,HPG,37.35,37.35,36.70,2990890.00
25/10/2017,37.35,HPG,37.40,37.70,37.35,1865230.00
24/10/2017,37.50,HPG,37.45,37.50,37.05,2536880.00
23/10/2017,37.10,HPG,37.10,37.50,36.65,3548920.00
20/10/2017,37.45,HPG,37.80,37.95,36.90,5134390.00
19/10/2017,37.80,HPG,38.00,38.45,37.75,3847220.00
18/10/2017,38.40,HPG,39.00,39.30,38.20,3257880.00
17/10/2017,39.00,HPG,37.90,39.00,37.90,4209020.00
16/10/2017,38.00,HPG,39.00,39.00,37.80,5477600.00
13/10/2017,38.95,HPG,39.45,39.55,38.90,3480150.00
12/10/2017,39.50,HPG,39.60,40.00,39.30,6506920.00
11/10/2017,39.55,HPG,39.70,39.75,39.40,2924450.00
10/10/2017,39.70,HPG,39.45,39.70,39.35,1986910.00
09/10/2017,39.45,HPG,39.00,39.45,38.80,2179760.00
06/10/2017,38.85,HPG,38.80,39.20,38.50,3118160.00
05/10/2017,38.80,HPG,39.65,39.90,38.80,5341280.00
04/10/2017,39.65,HPG,38.90,39.65,38.70,2571530.00
03/10/2017,38.80,HPG,39.00,39.25,38.40,3500210.00
02/10/2017,39.05,HPG,38.95,39.15,38.65,4329510.00
29/09/2017,38.90,HPG,37.75,38.95,37.75,6091150.00
28/09/2017,37.75,HPG,37.75,38.20,37.70,2949080.00
27/09/2017,37.70,HPG,37.40,37.85,37.40,2014480.00
26/09/2017,37.40,HPG,37.40,37.60,37.05,3665880.00
25/09/2017,37.50,HPG,37.75,37.75,37.40,2046460.00
22/09/2017,37.70,HPG,37.45,38.20,37.35,3308050.00
21/09/2017,37.50,HPG,38.00,38.10,37.30,4301050.00
20/09/2017,37.90,HPG,38.05,38.20,37.70,3067330.00
19/09/2017,38.00,HPG,37.90,38.65,37.75,5115160.00
18/09/2017,37.65,HPG,37.30,38.00,37.25,4636200.00
15/09/2017,37.00,HPG,36.50,37.05,36.40,4240470.00
14/09/2017,36.70,HPG,37.00,37.30,36.50,2979310.00
13/09/2017,36.90,HPG,35.70,36.90,35.60,5917410.00
12/09/2017,35.45,HPG,35.30,35.45,34.90,3157390.00
11/09/2017,35.30,HPG,35.90,36.00,35.30,2957540.00
08/09/2017,35.95,HPG,35.50,36.05,35.25,4192570.00
07/09/2017,35.50,HPG,36.10,36.10,35.30,5304750.00
06/09/2017,36.00,HPG,35.40,36.00,35.40,6081580.00
05/09/2017,35.40,HPG,35.10,35.45,34.95,3246220.00
01/09/2017,35.10,HPG,35.05,35.20,34.85,2819890.00
31/08/2017,35.05,HPG,34.80,35.35,34.80,3918570.00
30/08/2017,34.85,HPG,34.45,35.00,34.45,3576470.00
29/08/2017,34.45,HPG,34.30,34.80,34.25,5137980.00
28/08/2017,34.40,HPG,34.00,34.40,33.90,5261300.00
25/08/2017,33.90,HPG,33.60,33.95,33.55,5658750.00
24/08/2017,33.70,HPG,33.30,33.85,33.30,3342600.00
23/08/2017,33.50,HPG,33.05,33.50,32.95,2082950.00
22/08/2017,33.25,HPG,32.90,33.45,32.80,2976640.00
21/08/2017,33.10,HPG,33.70,33.75,33.05,3275910.00
18/08/2017,33.75,HPG,33.50,34.00,33.35,3031150.00
17/08/2017,33.65,HPG,34.25,34.25,33.65,3100480.00
