DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,34.80,REE,35.50,35.60,34.75,1277730.00
16/11/2017,35.25,REE,34.60,35.40,34.55,1892460.00
15/11/2017,34.40,REE,33.80,34.40,33.80,873840.00
14/11/2017,33.80,REE,33.70,34.25,33.00,1612590.00
13/11/2017,33.50,REE,33.80,33.90,33.45,808190.00
10/11/2017,33.90,REE,33.95,34.00,33.65,756430.00
09/11/2017,33.90,REE,33.00,34.35,33.00,1784450.00
08/11/2017,33.00,REE,33.00,33.15,32.80,1044840.00
07/11/2017,33.00,REE,33.45,33.45,32.95,869710.00
06/11/2017,33.25,REE,32.95,33.45,32.90,459010.00
03/11/2017,32.70,REE,32.00,32.95,31.90,931290.00
02/11/2017,32.00,REE,33.50,33.95,31.75,1897150.00
01/11/2017,33.70,REE,33.90,34.40,33.40,963110.00
31/10/2017,34.20,REE,34.30,34.40,33.70,748370.00
30/10/2017,34.45,REE,35.50,35.50,34.45,1595770.00
27/10/2017,35.00,REE,33.20,35.00,33.00,2230410.00
26/10/2017,33.50,REE,33.70,33.95,33.10,425290.00
25/10/2017,33.70,REE,33.50,34.00,33.20,707460.00
24/10/2017,33.50,REE,33.65,33.70,32.85,1829490.00
23/10/2017,33.70,REE,34.40,34.50,33.70,1187840.00
20/10/2017,34.50,REE,34.90,34.90,34.25,963830.00
19/10/2017,34.75,REE,35.00,35.00,34.70,337970.00
18/10/2017,34.90,REE,35.30,35.45,34.80,1170790.00
17/10/2017,35.10,REE,34.90,35.30,34.60,1519000.00
16/10/2017,34.55,REE,34.50,35.00,34.50,730530.00
13/10/2017,34.40,REE,34.30,34.85,34.30,584260.00
12/10/2017,34.50,REE,34.90,34.90,34.40,1053970.00
11/10/2017,34.80,REE,34.90,35.25,34.80,923710.00
10/10/2017,34.85,REE,34.70,34.95,34.40,1042140.00
09/10/2017,34.80,REE,34.55,35.25,34.55,1198450.00
06/10/2017,34.55,REE,34.95,34.95,34.55,455050.00
05/10/2017,34.65,REE,34.80,35.10,34.50,938820.00
04/10/2017,34.60,REE,34.50,34.65,34.35,549100.00
03/10/2017,34.40,REE,34.70,34.70,34.25,1505960.00
02/10/2017,34.75,REE,35.10,35.10,34.65,828690.00
29/09/2017,35.10,REE,34.75,35.10,34.55,1054210.00
28/09/2017,34.65,REE,35.10,35.40,34.55,2494950.00
27/09/2017,35.15,REE,35.60,35.65,35.15,1376830.00
26/09/2017,35.55,REE,35.90,36.00,35.35,1509870.00
25/09/2017,35.95,REE,36.15,36.45,35.95,774690.00
22/09/2017,36.25,REE,36.05,36.55,36.05,1165880.00
21/09/2017,36.10,REE,36.10,36.30,36.00,939190.00
20/09/2017,36.10,REE,36.30,36.35,36.10,711300.00
19/09/2017,36.25,REE,36.70,36.80,36.20,1609490.00
18/09/2017,36.50,REE,36.05,36.65,35.90,2546770.00
15/09/2017,36.00,REE,35.70,36.30,35.50,997540.00
14/09/2017,35.75,REE,36.20,36.30,35.75,1349930.00
13/09/2017,36.00,REE,36.00,36.40,35.90,1818000.00
12/09/2017,35.80,REE,35.20,35.90,35.05,1168250.00
11/09/2017,35.15,REE,35.20,35.60,35.00,889620.00
08/09/2017,35.20,REE,35.65,36.20,35.20,1058970.00
07/09/2017,35.65,REE,35.00,35.90,34.95,1547030.00
06/09/2017,35.10,REE,35.25,35.25,35.00,386920.00
05/09/2017,35.25,REE,35.30,35.50,34.90,927750.00
01/09/2017,35.25,REE,35.10,35.30,35.10,526640.00
31/08/2017,35.15,REE,34.45,35.35,34.45,995100.00
30/08/2017,34.45,REE,34.70,34.85,34.40,1020440.00
29/08/2017,34.75,REE,34.90,35.20,34.70,1164700.00
28/08/2017,35.10,REE,35.20,35.35,34.80,1100300.00
25/08/2017,35.35,REE,35.35,35.70,35.35,709740.00
24/08/2017,35.50,REE,35.00,35.60,35.00,863870.00
23/08/2017,35.00,REE,34.90,35.20,34.75,535970.00
22/08/2017,34.90,REE,35.30,35.35,34.75,930410.00
21/08/2017,35.30,REE,35.00,35.70,35.00,945800.00
18/08/2017,34.95,REE,34.50,35.40,34.30,1887430.00
17/08/2017,34.80,REE,35.70,35.70,34.65,1491410.00
