DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,182.00,ROS,180.50,182.10,180.30,1029570.00
16/11/2017,180.40,ROS,180.80,181.50,178.00,755730.00
15/11/2017,179.00,ROS,178.00,179.90,177.60,672980.00
14/11/2017,177.60,ROS,176.10,179.50,176.10,1306850.00
13/11/2017,176.10,ROS,175.00,179.50,174.00,984380.00
10/11/2017,174.60,ROS,164.00,179.00,162.50,1081700.00
09/11/2017,174.20,ROS,186.90,187.00,173.90,1205870.00
08/11/2017,186.90,ROS,205.50,207.10,186.60,1053550.00
07/11/2017,200.60,ROS,208.00,213.90,190.00,867430.00
06/11/2017,200.30,ROS,217.00,218.00,200.30,1003840.00
03/11/2017,214.10,ROS,206.00,214.30,200.60,1325840.00
02/11/2017,200.30,ROS,213.80,225.00,200.30,776380.00
01/11/2017,214.00,ROS,200.00,214.00,200.00,1465940.00
31/10/2017,200.00,ROS,206.00,220.00,195.10,1063370.00
30/10/2017,209.70,ROS,196.00,209.70,188.00,675620.00
27/10/2017,196.00,ROS,190.00,196.20,186.00,1188240.00
26/10/2017,183.40,ROS,163.00,184.00,163.00,1493370.00
25/10/2017,172.00,ROS,163.00,172.30,153.00,1543240.00
24/10/2017,161.30,ROS,142.10,161.30,142.10,1587540.00
23/10/2017,150.80,ROS,141.40,151.00,132.00,2598650.00
20/10/2017,141.30,ROS,132.10,141.30,123.20,4290470.00
19/10/2017,132.10,ROS,123.50,132.10,123.40,4807320.00
18/10/2017,123.50,ROS,115.60,123.50,115.60,2163520.00
17/10/2017,115.50,ROS,115.10,115.60,115.00,1646130.00
16/10/2017,114.90,ROS,114.30,115.00,114.30,1548650.00
13/10/2017,114.20,ROS,113.60,114.30,113.50,1830190.00
12/10/2017,113.40,ROS,112.90,113.50,112.90,1749530.00
11/10/2017,112.80,ROS,112.20,112.90,112.20,1526540.00
10/10/2017,112.10,ROS,111.70,112.20,111.50,1448460.00
09/10/2017,111.40,ROS,110.80,111.50,110.80,1544960.00
06/10/2017,110.70,ROS,110.20,110.80,110.10,1580860.00
05/10/2017,110.00,ROS,109.60,110.10,109.30,1337890.00
04/10/2017,109.20,ROS,108.50,109.30,108.50,1469530.00
03/10/2017,108.50,ROS,107.90,108.60,107.90,1779090.00
02/10/2017,107.80,ROS,107.20,107.90,107.20,1610380.00
29/09/2017,107.10,ROS,107.00,107.20,106.50,1551950.00
28/09/2017,106.40,ROS,105.80,106.50,105.80,1851930.00
27/09/2017,105.70,ROS,105.10,106.00,105.00,3415970.00
26/09/2017,112.90,ROS,120.90,120.90,111.90,3463810.00
25/09/2017,120.30,ROS,121.00,122.00,119.70,3225110.00
22/09/2017,128.70,ROS,120.40,128.70,120.40,2790300.00
21/09/2017,120.30,ROS,119.70,120.40,119.70,2604930.00
20/09/2017,119.60,ROS,119.10,119.70,119.00,2992110.00
19/09/2017,118.90,ROS,118.00,119.00,117.90,3415820.00
18/09/2017,117.80,ROS,117.10,117.90,117.10,2283900.00
15/09/2017,117.00,ROS,116.20,117.10,116.20,2891750.00
14/09/2017,116.10,ROS,115.20,116.20,115.10,4099560.00
13/09/2017,115.00,ROS,114.10,115.10,114.10,4035270.00
12/09/2017,114.00,ROS,120.60,120.80,112.40,5409030.00
11/09/2017,120.50,ROS,119.60,120.60,119.40,4027810.00
08/09/2017,119.30,ROS,119.10,119.40,118.40,3018400.00
07/09/2017,118.30,ROS,117.10,118.40,116.90,4118250.00
06/09/2017,116.80,ROS,115.00,116.90,114.90,5061330.00
05/09/2017,114.80,ROS,113.30,114.90,113.10,3534560.00
01/09/2017,113.00,ROS,112.00,113.10,111.10,3651680.00
31/08/2017,111.00,ROS,109.40,111.10,109.10,4976650.00
30/08/2017,109.00,ROS,106.20,109.00,106.10,2679840.00
29/08/2017,106.00,ROS,106.00,106.10,104.90,3166570.00
28/08/2017,104.80,ROS,98.70,104.80,98.10,4773500.00
25/08/2017,98.00,ROS,97.00,98.10,96.60,2793180.00
24/08/2017,96.50,ROS,95.40,96.60,95.40,2364320.00
23/08/2017,95.30,ROS,94.70,95.30,94.70,2332030.00
22/08/2017,94.60,ROS,94.10,94.60,94.10,2494260.00
21/08/2017,94.00,ROS,93.70,94.10,93.60,3450380.00
18/08/2017,93.50,ROS,93.10,93.50,93.10,2382220.00
17/08/2017,93.00,ROS,92.60,93.10,92.60,2196940.00
