DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,21.35,SBT,21.70,21.90,21.35,4020550.00
16/11/2017,21.40,SBT,21.50,21.65,21.10,3261000.00
15/11/2017,21.25,SBT,21.55,21.65,21.10,2155720.00
14/11/2017,21.65,SBT,21.70,22.05,21.50,1898040.00
13/11/2017,21.60,SBT,22.30,22.65,21.60,3607610.00
10/11/2017,21.45,SBT,20.40,21.45,20.20,5683730.00
09/11/2017,20.05,SBT,20.40,20.70,19.90,3309340.00
08/11/2017,20.50,SBT,20.50,20.95,20.35,2240840.00
07/11/2017,20.55,SBT,19.50,20.65,19.50,4073950.00
06/11/2017,19.95,SBT,20.50,20.70,19.60,7661330.00
03/11/2017,20.95,SBT,20.85,21.30,20.80,504520.00
02/11/2017,21.20,SBT,20.90,21.40,20.80,1263440.00
01/11/2017,20.90,SBT,20.60,21.10,20.25,1228420.00
31/10/2017,20.70,SBT,20.90,20.90,20.40,806010.00
30/10/2017,21.00,SBT,21.60,21.75,20.80,767600.00
27/10/2017,21.75,SBT,22.50,22.70,21.40,1749300.00
26/10/2017,22.50,SBT,23.40,23.60,22.10,1990850.00
25/10/2017,22.85,SBT,21.00,22.85,21.00,2044110.00
24/10/2017,21.40,SBT,21.60,21.60,20.85,338780.00
23/10/2017,21.00,SBT,21.50,21.80,20.40,1554120.00
20/10/2017,21.50,SBT,22.60,22.80,21.45,1903430.00
19/10/2017,22.70,SBT,23.40,23.45,22.70,1076740.00
18/10/2017,23.25,SBT,23.55,23.75,23.00,707010.00
17/10/2017,23.55,SBT,23.70,24.00,23.50,904340.00
16/10/2017,23.90,SBT,24.10,24.40,23.70,412190.00
13/10/2017,24.15,SBT,23.80,24.50,23.20,1950980.00
12/10/2017,23.80,SBT,24.50,24.50,23.80,1295220.00
11/10/2017,24.50,SBT,24.75,24.75,24.15,1088590.00
10/10/2017,24.55,SBT,24.70,24.70,24.20,796530.00
09/10/2017,24.70,SBT,24.50,24.75,24.20,1096400.00
06/10/2017,24.50,SBT,25.50,25.50,24.50,886500.00
05/10/2017,25.25,SBT,24.80,25.30,24.30,2043390.00
04/10/2017,24.85,SBT,24.60,25.00,24.10,1061560.00
03/10/2017,24.40,SBT,25.15,25.50,24.20,1015730.00
02/10/2017,25.35,SBT,26.20,26.40,25.35,783860.00
29/09/2017,26.00,SBT,27.00,27.00,26.00,2499420.00
28/09/2017,27.00,SBT,27.25,27.50,26.45,1601080.00
27/09/2017,27.30,SBT,26.40,27.30,26.00,2703250.00
26/09/2017,26.45,SBT,26.40,27.00,26.25,1144230.00
25/09/2017,26.40,SBT,27.40,27.55,26.40,1278430.00
22/09/2017,27.55,SBT,27.00,27.85,27.00,1450600.00
21/09/2017,27.30,SBT,27.00,27.45,25.60,1904700.00
20/09/2017,27.00,SBT,29.25,29.30,27.00,3955650.00
19/09/2017,29.00,SBT,29.35,29.35,28.70,1036710.00
18/09/2017,29.30,SBT,29.40,29.40,28.95,978550.00
15/09/2017,29.00,SBT,29.95,30.10,29.00,3567870.00
14/09/2017,29.85,SBT,29.25,30.00,29.20,969790.00
13/09/2017,29.00,SBT,29.60,30.10,29.00,973060.00
12/09/2017,29.40,SBT,29.20,29.70,28.90,1319390.00
11/09/2017,29.00,SBT,30.55,30.55,29.00,2152600.00
08/09/2017,30.55,SBT,30.50,30.85,30.25,991540.00
07/09/2017,30.70,SBT,30.00,30.80,30.00,1060290.00
06/09/2017,30.30,SBT,31.50,31.50,30.00,1502840.00
05/09/2017,31.00,SBT,31.70,31.80,30.30,1575830.00
01/09/2017,31.80,SBT,32.00,32.40,31.30,1377390.00
31/08/2017,32.15,SBT,32.00,32.75,31.75,1186350.00
30/08/2017,32.50,SBT,32.20,33.00,31.40,1882100.00
29/08/2017,31.35,SBT,29.30,31.35,29.30,2584430.00
28/08/2017,29.30,SBT,29.40,29.45,29.00,1423510.00
25/08/2017,28.90,SBT,30.20,30.50,28.90,1203290.00
24/08/2017,30.20,SBT,29.00,30.45,28.90,3105390.00
23/08/2017,29.00,SBT,28.80,29.30,28.80,1650840.00
22/08/2017,28.95,SBT,28.80,29.15,28.20,1041960.00
21/08/2017,28.90,SBT,28.60,29.50,28.60,900350.00
18/08/2017,29.20,SBT,29.00,29.35,28.50,988020.00
17/08/2017,28.90,SBT,29.00,29.20,28.75,1643640.00
