DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,21.00,DPM,21.25,21.50,20.80,457360.00
16/11/2017,21.25,DPM,20.60,21.25,20.45,646690.00
15/11/2017,20.60,DPM,20.40,20.65,20.40,308380.00
14/11/2017,20.50,DPM,20.80,20.85,20.45,313910.00
13/11/2017,20.80,DPM,20.65,20.90,20.60,582130.00
10/11/2017,20.65,DPM,20.60,20.65,20.45,254250.00
09/11/2017,20.60,DPM,20.50,20.75,20.40,461900.00
08/11/2017,20.40,DPM,20.20,20.80,20.20,677760.00
07/11/2017,20.15,DPM,20.40,20.40,20.15,644870.00
06/11/2017,20.25,DPM,20.90,20.90,20.25,394440.00
03/11/2017,20.60,DPM,20.85,20.90,20.60,584270.00
02/11/2017,20.90,DPM,20.90,21.10,20.85,233420.00
01/11/2017,20.90,DPM,21.30,21.30,20.90,311940.00
31/10/2017,21.30,DPM,21.30,21.45,21.25,502230.00
30/10/2017,21.35,DPM,21.40,21.50,21.35,437210.00
27/10/2017,21.45,DPM,21.30,21.45,21.25,266330.00
26/10/2017,21.30,DPM,21.65,21.65,21.20,461520.00
25/10/2017,21.65,DPM,21.75,21.80,21.50,621540.00
24/10/2017,21.80,DPM,21.90,21.90,21.70,596120.00
23/10/2017,21.95,DPM,22.00,22.00,21.85,264400.00
20/10/2017,22.05,DPM,22.10,22.10,21.90,350140.00
19/10/2017,22.05,DPM,22.00,22.20,22.00,265690.00
18/10/2017,22.00,DPM,22.10,22.30,22.00,526710.00
17/10/2017,22.30,DPM,22.40,22.40,22.20,575300.00
16/10/2017,22.40,DPM,22.50,22.50,22.40,380720.00
13/10/2017,22.50,DPM,22.60,22.60,22.50,586280.00
12/10/2017,22.60,DPM,22.70,22.70,22.60,288190.00
11/10/2017,22.70,DPM,22.70,22.70,22.65,643020.00
10/10/2017,22.70,DPM,22.80,22.80,22.65,267550.00
09/10/2017,22.80,DPM,22.75,22.80,22.60,419570.00
06/10/2017,22.70,DPM,22.75,22.75,22.65,358460.00
05/10/2017,22.75,DPM,22.80,22.80,22.70,317130.00
04/10/2017,22.80,DPM,22.85,22.85,22.75,233630.00
03/10/2017,22.85,DPM,22.90,22.95,22.80,325100.00
02/10/2017,22.85,DPM,22.85,23.00,22.75,331920.00
29/09/2017,22.75,DPM,22.90,22.90,22.65,223520.00
28/09/2017,22.90,DPM,22.70,23.00,22.70,455180.00
27/09/2017,22.70,DPM,22.75,22.75,22.65,728070.00
26/09/2017,22.65,DPM,22.80,22.80,22.65,969800.00
25/09/2017,22.75,DPM,22.90,23.00,22.70,328020.00
22/09/2017,22.90,DPM,23.10,23.10,22.75,342270.00
21/09/2017,22.90,DPM,23.10,23.10,22.90,258860.00
20/09/2017,23.10,DPM,22.95,23.10,22.80,570510.00
19/09/2017,22.75,DPM,22.85,22.85,22.70,519700.00
18/09/2017,22.85,DPM,22.70,22.90,22.70,277720.00
15/09/2017,22.75,DPM,23.00,23.00,22.75,428670.00
14/09/2017,23.00,DPM,22.65,23.30,22.60,1782710.00
13/09/2017,22.65,DPM,22.75,22.90,22.60,897920.00
12/09/2017,22.75,DPM,22.90,23.05,22.70,797510.00
11/09/2017,23.00,DPM,23.20,23.20,22.95,326160.00
08/09/2017,23.10,DPM,23.10,23.15,23.00,966890.00
07/09/2017,23.15,DPM,23.30,23.40,23.15,887350.00
06/09/2017,23.30,DPM,23.20,23.35,23.20,352230.00
05/09/2017,23.35,DPM,23.35,23.40,23.10,387670.00
01/09/2017,23.35,DPM,23.40,23.45,23.25,659450.00
31/08/2017,23.40,DPM,23.10,23.40,23.05,800840.00
30/08/2017,23.05,DPM,23.20,23.20,23.05,440190.00
29/08/2017,23.00,DPM,23.15,23.20,23.00,722090.00
28/08/2017,23.15,DPM,23.30,23.30,23.10,487780.00
25/08/2017,23.25,DPM,23.25,23.30,23.20,462480.00
24/08/2017,23.25,DPM,23.20,23.35,23.10,263550.00
23/08/2017,23.20,DPM,23.30,23.30,23.05,676540.00
22/08/2017,23.30,DPM,23.40,23.45,23.15,277540.00
21/08/2017,23.40,DPM,23.40,23.55,23.35,902750.00
18/08/2017,23.40,DPM,23.40,23.50,23.35,566530.00
17/08/2017,23.40,DPM,23.50,23.70,23.40,491670.00
16/08/2017,23.50,DPM,23.35,23.75,23.35,2483210.00
15/08/2017,23.15,DPM,23.10,23.15,23.00,845470.00
14/08/2017,23.00,DPM,22.90,23.00,22.90,375290.00
11/08/2017,22.95,DPM,23.10,23.10,22.90,560350.00
10/08/2017,23.10,DPM,23.00,23.15,22.95,358810.00
09/08/2017,23.00,DPM,23.15,23.30,22.95,829530.00
08/08/2017,23.20,DPM,23.50,23.50,23.15,798560.00
07/08/2017,23.50,DPM,23.80,23.90,23.45,884810.00
04/08/2017,23.15,DPM,23.25,23.25,23.10,282350.00
03/08/2017,23.20,DPM,23.20,23.30,23.00,335370.00
02/08/2017,23.20,DPM,23.40,23.45,23.15,822810.00
01/08/2017,23.50,DPM,23.20,23.50,23.20,1083350.00
31/07/2017,23.10,DPM,23.20,23.30,23.00,845730.00
28/07/2017,23.20,DPM,23.10,23.20,23.00,432220.00
27/07/2017,23.20,DPM,23.40,23.40,23.20,756810.00
26/07/2017,23.35,DPM,23.20,23.40,23.10,843150.00
25/07/2017,23.15,DPM,23.00,23.20,22.90,536380.00
24/07/2017,23.10,DPM,22.90,23.10,22.85,473810.00
21/07/2017,22.90,DPM,23.10,23.25,22.90,664550.00
20/07/2017,23.10,DPM,23.15,23.15,22.95,659990.00
19/07/2017,23.20,DPM,23.40,23.50,23.20,607690.00
18/07/2017,23.40,DPM,23.40,23.70,23.20,1617990.00
17/07/2017,23.65,DPM,24.00,24.00,23.25,1876250.00
14/07/2017,24.00,DPM,24.10,24.20,23.90,1148340.00
13/07/2017,24.10,DPM,24.45,24.45,24.10,911440.00
12/07/2017,24.15,DPM,23.60,24.25,23.45,2897710.00
11/07/2017,23.55,DPM,23.30,23.55,23.25,1099220.00
