DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,79.40,GAS,79.90,80.30,78.70,621920.00
16/11/2017,79.90,GAS,79.20,80.10,78.80,524770.00
15/11/2017,79.70,GAS,79.00,79.70,78.50,449990.00
14/11/2017,80.00,GAS,79.90,80.60,78.50,491250.00
13/11/2017,79.50,GAS,76.80,79.50,76.30,678800.00
10/11/2017,76.80,GAS,76.80,77.10,76.00,522740.00
09/11/2017,76.80,GAS,76.00,77.00,75.80,545450.00
08/11/2017,76.60,GAS,74.90,77.00,74.90,693240.00
07/11/2017,74.70,GAS,76.20,76.40,74.70,649940.00
06/11/2017,75.00,GAS,74.00,75.50,73.80,499030.00
03/11/2017,73.50,GAS,72.60,73.50,72.40,571850.00
02/11/2017,72.60,GAS,73.30,73.80,71.80,735730.00
01/11/2017,73.00,GAS,72.70,73.30,72.00,838420.00
31/10/2017,71.50,GAS,72.90,73.90,71.50,927460.00
30/10/2017,72.90,GAS,70.20,73.80,70.20,2168000.00
27/10/2017,69.30,GAS,68.60,69.30,67.90,273010.00
26/10/2017,68.60,GAS,69.70,69.90,68.50,519670.00
25/10/2017,69.80,GAS,69.60,70.20,69.20,455400.00
24/10/2017,69.70,GAS,67.80,69.70,67.50,704810.00
23/10/2017,68.10,GAS,70.80,71.00,68.10,626330.00
20/10/2017,70.70,GAS,70.00,71.80,70.00,642160.00
19/10/2017,70.30,GAS,69.50,70.70,69.50,634880.00
18/10/2017,69.50,GAS,69.50,70.90,69.00,617790.00
17/10/2017,69.40,GAS,69.50,69.80,68.90,310840.00
16/10/2017,69.40,GAS,70.20,71.00,69.20,549810.00
13/10/2017,70.00,GAS,68.50,70.30,68.50,1256910.00
12/10/2017,68.90,GAS,68.50,69.20,68.00,718730.00
11/10/2017,68.20,GAS,67.80,68.50,67.70,580150.00
10/10/2017,67.10,GAS,67.50,67.50,66.90,692210.00
09/10/2017,67.50,GAS,67.60,68.50,67.20,375540.00
06/10/2017,67.80,GAS,68.00,68.00,67.60,527450.00
05/10/2017,68.00,GAS,69.50,69.70,68.00,864180.00
04/10/2017,69.50,GAS,68.80,69.50,68.20,440790.00
03/10/2017,68.80,GAS,69.50,69.60,68.40,267850.00
02/10/2017,69.50,GAS,69.10,70.20,69.10,442170.00
29/09/2017,69.10,GAS,70.10,70.70,69.10,348210.00
28/09/2017,70.70,GAS,70.20,71.50,70.20,497770.00
27/09/2017,70.70,GAS,69.40,71.00,69.10,526360.00
26/09/2017,69.50,GAS,68.80,70.00,68.80,633130.00
25/09/2017,68.50,GAS,68.50,68.80,68.00,125620.00
22/09/2017,68.50,GAS,67.50,68.90,67.50,405840.00
21/09/2017,68.00,GAS,67.20,68.00,66.70,300880.00
20/09/2017,67.80,GAS,67.00,67.80,66.10,593650.00
19/09/2017,67.80,GAS,68.50,68.60,67.60,725660.00
18/09/2017,68.40,GAS,68.90,68.90,67.90,430400.00
15/09/2017,68.50,GAS,69.00,69.30,68.00,450920.00
14/09/2017,69.00,GAS,67.00,71.20,67.00,935560.00
13/09/2017,66.60,GAS,66.20,67.00,66.00,401930.00
12/09/2017,66.00,GAS,65.60,66.20,65.40,551400.00
11/09/2017,66.00,GAS,67.30,67.30,65.50,726030.00
08/09/2017,67.30,GAS,66.40,68.10,66.40,1176330.00
07/09/2017,66.40,GAS,65.10,67.60,65.00,1045650.00
06/09/2017,65.10,GAS,64.90,65.70,64.70,557740.00
05/09/2017,64.70,GAS,63.70,65.50,63.50,604870.00
01/09/2017,63.50,GAS,62.90,64.20,62.90,755320.00
31/08/2017,62.60,GAS,62.60,62.90,62.00,222080.00
30/08/2017,62.60,GAS,62.70,63.00,62.00,285860.00
29/08/2017,62.60,GAS,62.50,63.00,62.10,293560.00
28/08/2017,63.00,GAS,61.40,63.10,61.40,582890.00
25/08/2017,61.40,GAS,61.40,62.20,61.30,189640.00
24/08/2017,61.40,GAS,61.00,61.90,61.00,239980.00
23/08/2017,61.00,GAS,60.70,61.00,60.60,105000.00
22/08/2017,60.70,GAS,61.10,61.30,60.60,253080.00
21/08/2017,61.10,GAS,61.00,61.50,60.90,126800.00
18/08/2017,60.90,GAS,60.10,61.20,60.10,155160.00
17/08/2017,61.00,GAS,61.60,62.30,61.00,169350.00
16/08/2017,62.30,GAS,60.90,62.30,60.50,187980.00
15/08/2017,60.80,GAS,61.90,61.90,60.70,294210.00
14/08/2017,61.80,GAS,61.30,62.00,61.00,149840.00
11/08/2017,61.30,GAS,62.70,63.50,61.10,498850.00
10/08/2017,63.00,GAS,63.10,63.70,62.50,272390.00
09/08/2017,63.40,GAS,64.10,64.50,62.50,458730.00
08/08/2017,64.50,GAS,64.50,65.00,64.00,516540.00
07/08/2017,64.10,GAS,63.00,64.80,62.60,635240.00
04/08/2017,63.00,GAS,63.80,63.80,62.90,576960.00
03/08/2017,63.80,GAS,63.30,64.20,63.20,465420.00
02/08/2017,63.80,GAS,63.60,64.60,62.80,580980.00
01/08/2017,64.20,GAS,62.60,64.20,62.50,811680.00
31/07/2017,62.60,GAS,61.90,63.00,61.50,513860.00
28/07/2017,61.50,GAS,60.60,61.50,60.60,338940.00
27/07/2017,60.60,GAS,60.70,61.30,60.10,350280.00
26/07/2017,61.30,GAS,61.50,61.80,60.90,332530.00
25/07/2017,60.50,GAS,58.80,61.00,58.80,284880.00
24/07/2017,59.60,GAS,58.40,60.50,58.00,772050.00
21/07/2017,60.00,GAS,63.00,63.00,60.00,462650.00
20/07/2017,62.00,GAS,62.50,62.90,60.70,253890.00
19/07/2017,62.70,GAS,61.00,62.90,61.00,687010.00
18/07/2017,60.70,GAS,61.20,62.10,60.60,509580.00
17/07/2017,62.10,GAS,63.70,63.70,61.80,723250.00
14/07/2017,63.50,GAS,63.50,64.30,63.00,750170.00
13/07/2017,63.20,GAS,62.70,64.00,62.30,882290.00
12/07/2017,62.50,GAS,60.40,63.00,60.20,1483860.00
11/07/2017,60.10,GAS,60.20,60.50,59.40,458340.00
10/07/2017,60.30,GAS,60.50,60.80,59.70,1071320.00
07/07/2017,60.70,GAS,60.70,60.90,60.00,728970.00
06/07/2017,60.70,GAS,60.10,60.80,59.70,719680.00
05/07/2017,60.10,GAS,59.20,60.20,58.90,1598410.00
04/07/2017,59.00,GAS,59.20,59.30,58.00,394690.00
03/07/2017,59.60,GAS,58.20,59.70,58.20,868690.00
30/06/2017,58.30,GAS,57.60,58.90,57.50,1282490.00
29/06/2017,57.30,GAS,57.10,57.50,57.10,549030.00
28/06/2017,57.30,GAS,56.90,57.50,56.60,516800.00
27/06/2017,57.40,GAS,57.20,58.30,57.00,577840.00
26/06/2017,57.00,GAS,57.00,57.20,56.70,209750.00
23/06/2017,56.70,GAS,57.00,57.10,56.00,360190.00
22/06/2017,57.00,GAS,57.50,57.70,56.70,686630.00
21/06/2017,57.70,GAS,57.70,58.00,57.00,738120.00
20/06/2017,58.10,GAS,58.10,58.40,57.90,711980.00
19/06/2017,58.20,GAS,58.50,58.50,57.80,1080490.00
16/06/2017,57.50,GAS,56.90,58.00,56.90,613830.00
15/06/2017,56.90,GAS,57.00,57.40,56.50,457380.00
14/06/2017,57.50,GAS,56.30,57.70,56.30,1090870.00
13/06/2017,56.20,GAS,55.20,56.20,55.00,444780.00
12/06/2017,55.20,GAS,54.90,55.80,54.80,362400.00
09/06/2017,54.90,GAS,55.50,55.50,54.70,279320.00
08/06/2017,55.50,GAS,54.10,55.90,54.10,404080.00
07/06/2017,55.50,GAS,55.20,56.20,55.20,631150.00
06/06/2017,55.40,GAS,55.20,55.40,55.00,314000.00
05/06/2017,55.20,GAS,54.60,55.30,54.40,245020.00
02/06/2017,54.60,GAS,55.80,55.80,54.50,944820.00
01/06/2017,55.70,GAS,55.50,55.90,55.30,412340.00
31/05/2017,55.60,GAS,57.00,57.00,55.50,391640.00
30/05/2017,56.60,GAS,58.00,58.10,56.60,408770.00
29/05/2017,58.00,GAS,57.00,58.30,56.80,639880.00
26/05/2017,56.80,GAS,57.10,57.80,56.80,595270.00
25/05/2017,58.10,GAS,58.00,58.60,57.40,940320.00
24/05/2017,57.10,GAS,57.40,57.50,56.60,472380.00
23/05/2017,57.40,GAS,58.10,58.50,57.40,469660.00
22/05/2017,58.10,GAS,57.00,58.40,56.90,1581550.00
19/05/2017,55.90,GAS,55.00,56.40,55.00,1110510.00
18/05/2017,54.70,GAS,54.40,55.10,54.20,461480.00
17/05/2017,54.40,GAS,54.70,54.70,54.00,176600.00
