DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,37.80,KDC,38.50,38.65,37.55,307180.00
16/11/2017,38.55,KDC,37.90,38.80,37.90,366080.00
15/11/2017,37.55,KDC,36.80,38.00,36.80,293190.00
14/11/2017,36.50,KDC,36.30,37.20,36.30,295970.00
13/11/2017,36.30,KDC,36.35,36.75,36.20,415340.00
10/11/2017,36.80,KDC,36.80,36.80,36.00,353900.00
09/11/2017,36.80,KDC,36.95,37.00,36.30,324390.00
08/11/2017,37.10,KDC,36.80,37.20,36.80,188790.00
07/11/2017,37.20,KDC,37.50,37.50,36.60,271750.00
06/11/2017,37.50,KDC,37.30,37.50,36.90,264960.00
03/11/2017,37.30,KDC,37.30,37.90,37.00,135430.00
02/11/2017,37.30,KDC,36.50,37.30,36.40,319060.00
01/11/2017,36.70,KDC,37.05,37.05,36.50,435910.00
31/10/2017,37.05,KDC,37.00,37.30,36.90,306980.00
30/10/2017,37.00,KDC,37.30,37.50,36.80,403920.00
27/10/2017,37.00,KDC,36.80,37.25,35.90,500630.00
26/10/2017,37.00,KDC,37.50,38.00,36.90,406950.00
25/10/2017,37.50,KDC,38.40,38.40,37.50,117780.00
24/10/2017,38.30,KDC,38.00,38.30,37.80,128920.00
23/10/2017,38.20,KDC,38.00,38.40,37.80,362930.00
20/10/2017,38.60,KDC,38.65,38.75,38.00,243130.00
19/10/2017,38.65,KDC,38.60,38.95,38.55,336070.00
18/10/2017,38.20,KDC,38.10,38.20,37.60,561290.00
17/10/2017,38.25,KDC,38.40,38.70,37.95,322130.00
16/10/2017,38.60,KDC,38.70,38.85,38.40,505390.00
13/10/2017,39.10,KDC,39.25,39.25,38.50,455630.00
12/10/2017,39.25,KDC,39.80,39.80,39.15,385190.00
11/10/2017,39.80,KDC,39.80,40.50,39.50,263530.00
10/10/2017,39.50,KDC,39.70,40.00,39.50,405270.00
09/10/2017,40.10,KDC,40.50,41.50,40.10,295140.00
06/10/2017,40.60,KDC,40.65,40.80,40.50,87830.00
05/10/2017,40.50,KDC,40.40,41.50,40.40,209050.00
04/10/2017,40.65,KDC,40.65,40.65,40.20,322530.00
03/10/2017,40.65,KDC,41.50,41.50,40.30,617070.00
02/10/2017,41.50,KDC,41.80,41.80,41.00,514760.00
29/09/2017,42.00,KDC,42.00,42.50,41.90,223980.00
28/09/2017,42.50,KDC,42.90,43.00,42.00,505980.00
27/09/2017,43.20,KDC,42.70,43.40,42.70,532950.00
26/09/2017,42.70,KDC,42.10,42.70,41.80,446720.00
25/09/2017,42.10,KDC,41.80,42.50,41.70,377840.00
22/09/2017,41.70,KDC,42.00,42.00,41.60,305480.00
21/09/2017,42.00,KDC,42.00,42.30,41.60,222370.00
20/09/2017,42.00,KDC,42.50,42.50,42.00,277410.00
19/09/2017,42.00,KDC,41.70,42.60,40.90,421130.00
18/09/2017,41.70,KDC,41.10,42.15,41.10,287100.00
15/09/2017,41.20,KDC,41.35,41.50,41.20,213350.00
14/09/2017,41.20,KDC,41.70,41.90,41.20,97140.00
13/09/2017,41.50,KDC,41.60,41.70,40.85,126860.00
12/09/2017,41.40,KDC,41.25,41.45,40.80,321430.00
11/09/2017,41.45,KDC,41.95,41.95,41.25,104840.00
08/09/2017,41.95,KDC,42.00,42.20,41.40,286000.00
07/09/2017,42.20,KDC,42.35,42.50,42.05,158230.00
06/09/2017,42.20,KDC,42.85,42.85,42.20,272360.00
05/09/2017,42.50,KDC,41.30,42.70,41.00,316630.00
01/09/2017,41.05,KDC,40.70,41.40,40.70,193360.00
31/08/2017,40.70,KDC,41.00,41.10,40.35,143310.00
30/08/2017,41.00,KDC,41.60,41.60,40.00,388010.00
29/08/2017,41.20,KDC,41.50,41.90,41.20,232060.00
28/08/2017,41.40,KDC,40.70,41.60,40.50,106520.00
25/08/2017,40.70,KDC,40.80,42.00,40.05,171360.00
24/08/2017,40.70,KDC,40.90,41.00,40.70,177130.00
23/08/2017,40.90,KDC,41.30,41.30,40.90,157930.00
22/08/2017,41.30,KDC,41.50,41.50,40.80,187060.00
21/08/2017,41.20,KDC,41.00,41.20,40.90,132900.00
18/08/2017,41.00,KDC,40.20,41.00,39.80,790860.00
17/08/2017,40.90,KDC,41.20,42.00,40.90,309020.00
16/08/2017,41.70,KDC,42.50,42.50,41.70,241220.00
15/08/2017,42.20,KDC,42.90,42.90,41.95,543430.00
14/08/2017,42.90,KDC,42.50,42.90,42.40,455450.00
11/08/2017,42.90,KDC,42.60,42.90,42.20,327600.00
10/08/2017,42.80,KDC,42.80,43.40,42.55,183300.00
09/08/2017,43.45,KDC,43.70,43.70,42.25,430990.00
08/08/2017,43.75,KDC,43.80,44.00,43.40,221640.00
07/08/2017,43.80,KDC,43.80,44.25,43.60,272290.00
04/08/2017,44.00,KDC,44.50,44.50,43.00,238250.00
03/08/2017,44.50,KDC,43.00,44.50,42.50,442730.00
02/08/2017,43.00,KDC,43.80,43.80,41.40,986990.00
01/08/2017,43.80,KDC,44.25,44.50,43.50,340230.00
31/07/2017,44.50,KDC,45.30,45.40,44.50,300080.00
28/07/2017,45.30,KDC,45.95,46.00,45.00,393610.00
27/07/2017,45.25,KDC,44.65,45.30,44.35,588240.00
26/07/2017,44.20,KDC,44.20,44.30,43.85,243310.00
25/07/2017,44.00,KDC,43.20,44.50,43.20,160610.00
24/07/2017,45.70,KDC,46.00,46.15,45.65,318390.00
21/07/2017,46.00,KDC,46.30,46.50,45.85,465100.00
20/07/2017,46.00,KDC,45.50,46.20,45.50,490010.00
19/07/2017,46.00,KDC,46.20,46.30,45.55,681750.00
18/07/2017,46.20,KDC,46.10,46.30,45.50,508740.00
17/07/2017,46.30,KDC,46.80,46.80,46.20,521640.00
14/07/2017,46.75,KDC,46.75,46.75,46.60,596580.00
13/07/2017,46.75,KDC,47.00,47.00,46.65,343260.00
12/07/2017,46.80,KDC,46.50,46.95,45.90,904470.00
11/07/2017,46.40,KDC,46.10,46.40,45.80,527930.00
10/07/2017,46.10,KDC,46.60,47.10,45.80,1131360.00
07/07/2017,46.50,KDC,47.50,47.60,46.30,849540.00
06/07/2017,47.50,KDC,47.50,47.85,47.40,730720.00
05/07/2017,47.70,KDC,47.90,48.30,47.70,947870.00
04/07/2017,47.65,KDC,46.65,47.90,46.40,1718090.00
03/07/2017,46.50,KDC,46.50,46.70,46.35,771860.00
30/06/2017,46.50,KDC,46.00,46.50,46.00,1015200.00
29/06/2017,45.95,KDC,45.60,46.40,45.60,576140.00
28/06/2017,45.80,KDC,46.05,46.05,45.60,781440.00
27/06/2017,45.80,KDC,46.80,46.80,45.80,1034950.00
26/06/2017,46.80,KDC,46.90,47.10,46.40,500460.00
23/06/2017,46.55,KDC,46.60,46.80,45.80,493550.00
22/06/2017,46.55,KDC,46.85,47.40,46.55,594620.00
21/06/2017,46.70,KDC,46.45,46.80,46.45,640810.00
20/06/2017,46.90,KDC,46.60,47.20,46.10,696500.00
19/06/2017,46.75,KDC,47.00,47.00,46.60,724060.00
16/06/2017,46.20,KDC,45.70,46.35,45.50,1430390.00
15/06/2017,45.70,KDC,45.70,46.75,45.60,436610.00
14/06/2017,45.60,KDC,45.30,46.30,45.05,691430.00
13/06/2017,45.50,KDC,46.10,46.20,45.05,899950.00
12/06/2017,46.50,KDC,46.80,47.00,45.90,452910.00
09/06/2017,47.00,KDC,46.10,47.60,46.10,996440.00
08/06/2017,46.40,KDC,44.80,46.40,44.30,1182990.00
07/06/2017,44.45,KDC,44.10,44.50,43.80,1030200.00
06/06/2017,43.90,KDC,44.10,44.10,43.65,721330.00
05/06/2017,43.80,KDC,42.70,44.30,42.70,876790.00
02/06/2017,43.10,KDC,43.40,44.30,42.90,1211850.00
01/06/2017,42.90,KDC,42.45,43.00,42.35,448660.00
31/05/2017,42.45,KDC,42.50,43.00,42.40,239600.00
30/05/2017,42.50,KDC,43.10,43.70,42.50,426210.00
29/05/2017,43.40,KDC,44.00,44.30,43.30,276660.00
26/05/2017,43.60,KDC,44.30,45.40,43.30,650030.00
25/05/2017,44.00,KDC,42.30,44.00,42.10,1078580.00
24/05/2017,42.00,KDC,41.70,42.00,41.50,277550.00
23/05/2017,41.70,KDC,41.90,42.80,41.60,477990.00
22/05/2017,41.80,KDC,41.70,42.00,41.30,296130.00
