DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,23.60,MBB,23.50,23.75,23.30,5474220.00
16/11/2017,23.30,MBB,22.90,23.35,22.85,5243540.00
15/11/2017,22.90,MBB,23.10,23.20,22.85,3676850.00
14/11/2017,23.10,MBB,23.15,23.40,22.70,4351390.00
13/11/2017,23.05,MBB,23.55,23.60,23.05,6356660.00
10/11/2017,23.55,MBB,23.45,24.00,23.25,6496980.00
09/11/2017,23.50,MBB,23.90,23.90,23.45,5204980.00
08/11/2017,23.80,MBB,23.35,23.90,23.30,8313850.00
07/11/2017,23.25,MBB,22.90,23.40,22.80,6773700.00
06/11/2017,22.90,MBB,22.70,22.90,22.60,2712810.00
03/11/2017,22.65,MBB,22.50,22.65,22.35,1705220.00
02/11/2017,22.45,MBB,22.80,22.95,22.20,3923110.00
01/11/2017,22.65,MBB,22.65,22.85,22.60,2467440.00
31/10/2017,22.60,MBB,22.60,22.95,22.45,3314330.00
30/10/2017,22.60,MBB,23.10,23.20,22.60,3708080.00
27/10/2017,23.00,MBB,22.50,23.00,22.50,3100630.00
26/10/2017,22.50,MBB,22.65,22.75,22.30,3024690.00
25/10/2017,22.70,MBB,22.50,22.75,22.45,3460260.00
24/10/2017,22.35,MBB,22.10,22.35,22.10,2053320.00
23/10/2017,22.20,MBB,22.40,22.50,22.00,3002430.00
20/10/2017,22.50,MBB,22.60,22.85,22.45,3763540.00
19/10/2017,22.60,MBB,23.10,23.15,22.60,6304060.00
18/10/2017,23.10,MBB,23.55,23.60,23.10,4593560.00
17/10/2017,23.45,MBB,23.10,23.45,23.10,5036910.00
16/10/2017,23.10,MBB,23.60,23.65,23.10,3933190.00
13/10/2017,23.35,MBB,23.10,23.35,23.10,3369480.00
12/10/2017,23.10,MBB,23.40,23.50,23.10,4122730.00
11/10/2017,23.30,MBB,23.35,23.65,23.15,3981470.00
10/10/2017,23.35,MBB,23.10,23.65,23.10,5285620.00
09/10/2017,23.20,MBB,23.45,23.60,23.10,5612750.00
06/10/2017,23.10,MBB,22.10,23.20,22.10,7227750.00
05/10/2017,22.10,MBB,22.55,22.75,22.10,4216170.00
04/10/2017,22.40,MBB,21.60,22.40,21.55,3487740.00
03/10/2017,21.55,MBB,21.70,21.70,21.20,1621060.00
02/10/2017,21.60,MBB,21.75,22.15,21.50,1981130.00
29/09/2017,21.75,MBB,21.80,22.15,21.70,2598600.00
28/09/2017,22.55,MBB,22.75,22.80,22.45,6510940.00
27/09/2017,22.70,MBB,22.80,22.80,22.65,1835200.00
26/09/2017,22.75,MBB,22.95,22.95,22.65,2963140.00
25/09/2017,22.90,MBB,22.95,23.10,22.85,2393350.00
22/09/2017,22.95,MBB,23.20,23.40,22.95,3779620.00
21/09/2017,23.15,MBB,22.95,23.25,22.90,2165830.00
20/09/2017,22.95,MBB,22.90,23.00,22.85,1510880.00
19/09/2017,22.90,MBB,23.00,23.30,22.90,2567700.00
18/09/2017,23.00,MBB,23.00,23.30,22.90,2637410.00
15/09/2017,22.90,MBB,23.10,23.10,22.85,1879360.00
14/09/2017,23.10,MBB,23.15,23.40,23.10,2064800.00
13/09/2017,23.00,MBB,23.10,23.30,23.00,1494240.00
