DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,58.00,MSN,57.90,61.00,57.00,542720.00
16/11/2017,59.00,MSN,56.10,59.00,55.10,391640.00
15/11/2017,56.50,MSN,57.60,58.00,56.50,463660.00
14/11/2017,58.00,MSN,58.90,58.90,57.50,369480.00
13/11/2017,59.00,MSN,59.90,59.90,58.00,292440.00
10/11/2017,59.50,MSN,60.10,60.20,59.00,251050.00
09/11/2017,59.40,MSN,59.90,60.00,58.00,658890.00
08/11/2017,59.90,MSN,59.90,60.00,59.60,384980.00
07/11/2017,59.90,MSN,60.20,60.20,59.70,462090.00
06/11/2017,60.20,MSN,59.50,61.00,59.40,639960.00
03/11/2017,60.20,MSN,60.10,60.20,59.00,557610.00
02/11/2017,60.10,MSN,60.00,60.70,60.00,846060.00
01/11/2017,60.00,MSN,59.80,60.00,58.50,502670.00
31/10/2017,59.50,MSN,60.00,60.10,57.00,766150.00
30/10/2017,60.00,MSN,58.50,60.00,58.30,859390.00
27/10/2017,58.50,MSN,57.10,58.50,56.70,347960.00
26/10/2017,57.20,MSN,56.70,57.20,56.00,377350.00
25/10/2017,56.50,MSN,55.30,56.50,55.30,213160.00
24/10/2017,56.00,MSN,56.00,56.00,55.10,492650.00
23/10/2017,56.00,MSN,55.00,56.40,54.60,292140.00
20/10/2017,56.50,MSN,56.00,56.50,55.80,1605470.00
19/10/2017,56.00,MSN,57.00,57.00,56.00,2887020.00
18/10/2017,56.70,MSN,56.10,57.00,56.10,1563110.00
17/10/2017,56.20,MSN,57.10,57.30,56.20,2651810.00
16/10/2017,57.30,MSN,57.30,58.20,57.20,2834670.00
13/10/2017,58.20,MSN,57.30,58.70,56.30,341900.00
12/10/2017,57.30,MSN,55.60,57.30,55.60,375410.00
11/10/2017,55.60,MSN,57.00,57.20,55.60,173530.00
10/10/2017,57.20,MSN,57.00,57.50,56.50,529580.00
09/10/2017,57.20,MSN,57.50,57.90,56.60,287000.00
06/10/2017,57.10,MSN,57.80,57.80,56.80,144570.00
05/10/2017,57.70,MSN,55.00,57.90,55.00,586070.00
04/10/2017,55.00,MSN,54.20,55.50,54.00,183890.00
03/10/2017,54.90,MSN,54.80,55.50,54.10,124800.00
02/10/2017,55.30,MSN,55.20,55.30,54.50,144920.00
29/09/2017,55.10,MSN,56.00,57.10,54.50,465570.00
28/09/2017,55.70,MSN,55.50,55.70,55.10,532450.00
27/09/2017,54.90,MSN,54.60,55.20,54.60,325200.00
26/09/2017,55.90,MSN,54.50,55.90,53.40,382200.00
25/09/2017,54.50,MSN,54.00,55.00,53.70,581110.00
22/09/2017,52.00,MSN,50.90,52.80,50.90,647270.00
21/09/2017,51.20,MSN,53.30,53.60,51.20,726040.00
20/09/2017,53.80,MSN,55.10,55.50,53.80,567800.00
19/09/2017,55.50,MSN,55.40,57.00,55.40,508690.00
18/09/2017,56.30,MSN,56.10,56.50,55.20,841840.00
15/09/2017,56.10,MSN,56.30,56.30,54.50,1652830.00
14/09/2017,56.30,MSN,55.60,57.00,55.60,566010.00
13/09/2017,56.00,MSN,55.80,56.60,54.00,621580.00
12/09/2017,55.10,MSN,54.00,55.50,54.00,1145230.00
11/09/2017,53.50,MSN,53.40,56.90,53.00,1861440.00
08/09/2017,53.20,MSN,50.20,53.50,50.20,1259150.00
07/09/2017,50.00,MSN,48.50,50.00,48.05,887640.00
06/09/2017,48.00,MSN,47.90,49.00,47.90,509030.00
05/09/2017,47.90,MSN,48.20,48.30,47.60,959570.00
01/09/2017,48.20,MSN,47.50,48.50,46.85,691700.00
31/08/2017,47.50,MSN,47.10,48.00,46.90,489330.00
30/08/2017,46.80,MSN,46.00,46.90,45.60,308170.00
29/08/2017,45.20,MSN,46.00,47.05,45.20,726090.00
28/08/2017,47.00,MSN,46.50,47.00,45.30,453010.00
25/08/2017,46.50,MSN,46.00,46.50,46.00,217080.00
24/08/2017,46.00,MSN,45.95,46.10,45.60,261840.00
23/08/2017,45.60,MSN,45.00,45.60,45.00,297730.00
22/08/2017,45.00,MSN,45.20,45.40,45.00,346450.00
21/08/2017,45.00,MSN,44.50,45.10,44.50,575380.00
18/08/2017,44.60,MSN,44.00,44.95,44.00,575730.00
17/08/2017,44.90,MSN,44.80,45.10,44.40,1177340.00
16/08/2017,44.60,MSN,43.90,45.00,43.90,448900.00
15/08/2017,44.10,MSN,43.50,44.20,43.50,629860.00
14/08/2017,44.00,MSN,42.30,44.00,42.15,752950.00
11/08/2017,42.70,MSN,42.50,42.75,42.50,190790.00
10/08/2017,42.50,MSN,42.00,42.70,42.00,399880.00
09/08/2017,42.00,MSN,42.70,42.80,42.00,387090.00
08/08/2017,42.70,MSN,42.60,42.80,42.50,253230.00
07/08/2017,42.70,MSN,43.00,43.00,42.70,324280.00
04/08/2017,42.75,MSN,42.10,42.75,42.10,506140.00
03/08/2017,42.60,MSN,42.50,42.65,42.50,573590.00
02/08/2017,42.50,MSN,42.40,42.60,42.20,471600.00
01/08/2017,42.45,MSN,42.20,42.75,41.90,523200.00
31/07/2017,42.80,MSN,41.00,42.80,40.60,1053980.00
28/07/2017,41.60,MSN,41.60,41.60,41.45,293930.00
27/07/2017,41.50,MSN,41.20,41.60,41.20,357380.00
26/07/2017,41.55,MSN,41.45,41.60,41.20,686550.00
25/07/2017,41.60,MSN,41.50,41.60,41.25,524020.00
24/07/2017,41.45,MSN,41.20,41.45,41.00,486310.00
21/07/2017,41.20,MSN,41.20,41.25,41.05,1107560.00
20/07/2017,41.20,MSN,41.15,41.20,41.00,416160.00
19/07/2017,41.00,MSN,41.00,41.20,40.80,1169620.00
18/07/2017,41.00,MSN,40.20,41.00,40.00,687300.00
17/07/2017,40.65,MSN,41.50,41.55,39.90,875490.00
14/07/2017,41.50,MSN,41.30,41.60,41.10,106840.00
13/07/2017,41.30,MSN,41.55,41.70,41.00,888360.00
12/07/2017,41.45,MSN,41.60,41.65,41.30,305600.00
11/07/2017,41.65,MSN,41.50,41.65,41.25,340440.00
10/07/2017,41.50,MSN,41.50,41.65,41.40,898440.00
07/07/2017,41.75,MSN,41.45,41.85,41.30,731880.00
06/07/2017,41.45,MSN,41.50,41.50,41.30,385200.00
05/07/2017,41.30,MSN,41.50,41.50,41.20,438720.00
04/07/2017,41.40,MSN,41.60,41.60,41.20,357420.00
03/07/2017,41.50,MSN,41.90,42.10,41.50,389050.00
30/06/2017,42.00,MSN,42.80,42.80,42.00,514910.00
29/06/2017,42.40,MSN,41.90,42.70,41.90,761920.00
28/06/2017,41.60,MSN,41.40,41.70,41.30,229120.00
27/06/2017,41.60,MSN,42.10,42.10,41.50,661190.00
26/06/2017,42.20,MSN,41.05,42.20,41.05,440840.00
23/06/2017,41.15,MSN,41.60,41.60,41.00,904960.00
22/06/2017,41.60,MSN,42.00,42.30,41.00,878550.00
21/06/2017,42.00,MSN,42.70,42.70,41.70,1348530.00
20/06/2017,42.90,MSN,43.60,43.60,42.90,610350.00
19/06/2017,43.60,MSN,43.00,43.65,42.80,667880.00
16/06/2017,42.30,MSN,43.25,43.25,42.30,2488690.00
15/06/2017,43.35,MSN,43.90,43.90,43.20,405160.00
14/06/2017,43.70,MSN,43.30,43.80,43.10,133080.00
13/06/2017,43.05,MSN,43.40,43.40,42.80,599300.00
12/06/2017,43.30,MSN,43.10,43.45,43.05,207600.00
09/06/2017,43.20,MSN,43.00,43.50,43.00,371540.00
08/06/2017,43.10,MSN,43.55,43.55,43.05,398540.00
07/06/2017,43.55,MSN,44.10,44.10,43.50,442790.00
06/06/2017,44.10,MSN,44.50,44.50,44.00,130880.00
05/06/2017,44.30,MSN,43.80,44.30,43.80,349640.00
02/06/2017,43.80,MSN,43.90,44.40,43.20,349680.00
01/06/2017,43.90,MSN,43.10,43.90,43.10,321750.00
31/05/2017,43.20,MSN,43.00,43.20,42.60,482750.00
30/05/2017,42.80,MSN,43.45,43.45,42.80,185060.00
29/05/2017,43.00,MSN,42.80,43.70,42.80,416530.00
26/05/2017,42.80,MSN,42.60,43.80,42.60,241540.00
25/05/2017,43.00,MSN,43.50,43.80,42.50,962430.00
24/05/2017,43.50,MSN,44.50,44.50,43.50,607770.00
23/05/2017,44.10,MSN,44.60,45.10,43.70,591860.00
22/05/2017,44.10,MSN,43.30,44.50,43.05,403650.00
19/05/2017,43.00,MSN,43.50,43.75,43.00,191520.00
18/05/2017,43.50,MSN,43.00,44.00,43.00,377570.00
17/05/2017,43.50,MSN,43.85,44.25,43.20,410490.00
