DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,280.00,SAB,281.00,283.90,275.30,81030.00
16/11/2017,280.00,SAB,268.00,280.00,268.00,55060.00
15/11/2017,270.90,SAB,274.10,278.50,269.70,44210.00
14/11/2017,274.20,SAB,276.20,280.00,274.20,18400.00
13/11/2017,276.20,SAB,276.50,282.80,276.00,37370.00
10/11/2017,276.50,SAB,278.10,278.10,273.90,16650.00
09/11/2017,278.10,SAB,281.50,282.90,277.70,4680.00
08/11/2017,281.50,SAB,288.80,298.90,277.70,79920.00
07/11/2017,285.10,SAB,289.00,290.00,285.10,50470.00
06/11/2017,290.00,SAB,290.00,292.00,288.00,7770.00
03/11/2017,290.00,SAB,285.50,290.00,281.10,12150.00
02/11/2017,289.00,SAB,286.90,289.00,284.00,43940.00
01/11/2017,286.90,SAB,285.60,287.00,280.70,18930.00
31/10/2017,285.60,SAB,287.00,287.00,283.10,3060.00
30/10/2017,287.00,SAB,280.00,287.00,277.00,110150.00
27/10/2017,280.50,SAB,282.00,282.00,272.10,26460.00
26/10/2017,282.00,SAB,280.50,282.00,275.00,45560.00
25/10/2017,279.40,SAB,280.50,280.50,274.00,5720.00
24/10/2017,280.50,SAB,280.00,281.90,270.10,54670.00
23/10/2017,280.00,SAB,276.00,280.00,270.10,36380.00
20/10/2017,270.00,SAB,275.60,284.00,270.00,27530.00
19/10/2017,278.00,SAB,284.80,285.00,278.00,38990.00
18/10/2017,281.50,SAB,277.10,282.00,277.00,177700.00
17/10/2017,279.00,SAB,272.00,279.00,268.20,40630.00
16/10/2017,272.00,SAB,272.00,272.70,269.00,47420.00
13/10/2017,272.00,SAB,266.00,272.00,261.10,57150.00
12/10/2017,266.00,SAB,261.10,266.30,261.10,19470.00
11/10/2017,261.80,SAB,259.90,261.90,259.80,15300.00
10/10/2017,260.10,SAB,261.70,261.80,259.40,20900.00
09/10/2017,260.10,SAB,262.80,262.80,255.50,12300.00
06/10/2017,260.10,SAB,261.90,261.90,255.20,1920.00
05/10/2017,260.00,SAB,255.00,264.80,255.00,2220.00
04/10/2017,260.40,SAB,255.20,260.40,255.20,3250.00
03/10/2017,256.80,SAB,262.00,262.00,256.10,7330.00
02/10/2017,258.00,SAB,260.00,262.90,256.00,3580.00
29/09/2017,260.00,SAB,266.00,272.50,260.00,13640.00
28/09/2017,266.10,SAB,255.00,270.00,251.60,16960.00
27/09/2017,255.00,SAB,258.00,258.00,253.00,15050.00
26/09/2017,258.00,SAB,261.50,261.50,257.10,5600.00
25/09/2017,261.50,SAB,266.20,266.20,250.00,14620.00
22/09/2017,266.20,SAB,270.90,270.90,265.00,5950.00
21/09/2017,265.00,SAB,272.00,272.00,265.00,52660.00
20/09/2017,273.00,SAB,277.00,277.00,271.90,12860.00
19/09/2017,275.00,SAB,276.50,278.00,272.00,20580.00
18/09/2017,276.50,SAB,279.90,279.90,268.00,19100.00
15/09/2017,272.00,SAB,267.00,272.00,267.00,24350.00
14/09/2017,272.50,SAB,279.00,279.00,271.50,36910.00
