DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,24.50,SSI,24.70,24.80,24.25,3145030.00
16/11/2017,24.60,SSI,24.10,24.60,24.00,3823680.00
15/11/2017,24.25,SSI,24.00,24.40,24.00,2064670.00
14/11/2017,24.30,SSI,24.20,24.50,23.75,2988570.00
13/11/2017,24.05,SSI,23.30,24.05,23.15,3562920.00
10/11/2017,23.30,SSI,23.25,23.45,23.15,1729980.00
09/11/2017,23.35,SSI,23.10,23.45,23.10,2422140.00
08/11/2017,23.05,SSI,23.00,23.10,22.90,1688320.00
07/11/2017,23.00,SSI,23.20,23.20,22.90,1751460.00
06/11/2017,23.10,SSI,22.80,23.10,22.80,1455830.00
03/11/2017,22.80,SSI,22.50,22.80,22.50,1445110.00
02/11/2017,22.55,SSI,22.50,23.00,22.40,4224030.00
01/11/2017,22.20,SSI,22.60,22.70,21.90,4748180.00
31/10/2017,22.60,SSI,22.80,23.00,22.60,2300130.00
30/10/2017,22.85,SSI,23.30,23.40,22.85,2919480.00
27/10/2017,23.20,SSI,23.00,23.20,22.90,1703920.00
26/10/2017,23.20,SSI,23.40,23.50,22.80,3117300.00
25/10/2017,23.40,SSI,23.60,23.60,23.35,1940490.00
24/10/2017,23.35,SSI,23.65,23.75,23.35,3195190.00
23/10/2017,23.60,SSI,24.20,24.20,23.60,4844710.00
20/10/2017,24.30,SSI,24.50,24.75,24.30,2588670.00
19/10/2017,24.50,SSI,24.90,25.00,24.50,2360570.00
18/10/2017,24.85,SSI,25.00,25.25,24.85,7487940.00
17/10/2017,24.80,SSI,24.40,24.80,24.35,2378250.00
16/10/2017,24.40,SSI,24.35,24.45,24.30,1821810.00
13/10/2017,24.35,SSI,24.30,24.40,24.20,1686550.00
12/10/2017,24.35,SSI,24.70,24.80,24.35,2537430.00
11/10/2017,24.70,SSI,24.80,24.85,24.60,3054990.00
10/10/2017,24.55,SSI,24.70,24.70,24.45,2785450.00
09/10/2017,24.75,SSI,25.00,25.05,24.75,3954240.00
06/10/2017,25.55,SSI,25.60,25.80,25.50,2350450.00
05/10/2017,25.55,SSI,25.20,25.65,25.10,3224300.00
04/10/2017,25.10,SSI,24.90,25.10,24.80,1351090.00
03/10/2017,24.90,SSI,25.05,25.05,24.70,1434940.00
02/10/2017,25.00,SSI,25.05,25.25,24.95,798050.00
29/09/2017,25.05,SSI,25.00,25.20,25.00,1668120.00
28/09/2017,25.00,SSI,25.40,25.55,25.00,1773660.00
27/09/2017,25.40,SSI,25.40,25.55,25.35,790510.00
26/09/2017,25.40,SSI,25.55,25.55,25.35,1600660.00
25/09/2017,25.40,SSI,25.60,25.80,25.40,1957240.00
22/09/2017,25.50,SSI,25.50,25.70,25.40,1799610.00
21/09/2017,25.35,SSI,25.50,25.65,25.35,2634790.00
20/09/2017,25.50,SSI,25.85,25.85,25.45,1488560.00
19/09/2017,25.80,SSI,25.90,25.95,25.70,2288850.00
18/09/2017,25.80,SSI,25.65,26.05,25.50,4147740.00
15/09/2017,25.60,SSI,25.45,25.60,25.30,2947640.00
14/09/2017,25.45,SSI,25.20,25.70,25.15,4068280.00
13/09/2017,25.05,SSI,24.80,25.05,24.75,1778620.00
12/09/2017,24.70,SSI,24.70,24.80,24.60,1704890.00
11/09/2017,24.70,SSI,24.85,25.05,24.65,2314020.00
08/09/2017,24.95,SSI,25.10,25.20,24.95,1520010.00
07/09/2017,25.05,SSI,25.00,25.35,24.95,2018750.00
06/09/2017,25.00,SSI,25.10,25.15,24.90,1730160.00
05/09/2017,25.10,SSI,25.10,25.30,24.85,1729240.00
01/09/2017,25.20,SSI,25.05,25.30,25.05,2119210.00
31/08/2017,25.05,SSI,24.80,25.15,24.75,3062070.00
30/08/2017,24.85,SSI,24.90,25.00,24.80,1662960.00
29/08/2017,24.90,SSI,25.20,25.25,24.90,2728450.00
28/08/2017,25.15,SSI,24.70,25.20,24.50,4638200.00
25/08/2017,24.65,SSI,24.55,24.70,24.35,2255190.00
24/08/2017,24.35,SSI,24.20,24.60,24.20,2527440.00
23/08/2017,24.30,SSI,24.10,24.30,23.85,3220320.00
22/08/2017,24.00,SSI,24.45,24.50,24.00,3569570.00
21/08/2017,24.45,SSI,24.85,24.90,24.45,2181090.00
18/08/2017,24.85,SSI,24.50,25.05,24.40,4147990.00
17/08/2017,24.60,SSI,25.25,25.25,24.60,3983210.00
16/08/2017,25.15,SSI,25.05,25.25,25.05,2517880.00
15/08/2017,25.15,SSI,25.50,25.50,25.05,1531770.00
14/08/2017,25.30,SSI,25.05,25.40,25.05,1485350.00
11/08/2017,25.05,SSI,25.25,25.40,25.00,2820050.00
