DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,24.05,BID,24.20,24.30,23.50,2518270.00
16/11/2017,24.15,BID,24.05,24.35,23.70,2383080.00
15/11/2017,24.20,BID,24.40,24.40,24.00,1143070.00
14/11/2017,24.30,BID,23.95,24.40,23.50,1976900.00
13/11/2017,23.95,BID,23.65,23.95,23.60,1456000.00
10/11/2017,23.60,BID,23.30,24.20,23.30,2655350.00
09/11/2017,23.50,BID,23.80,23.90,23.40,2328420.00
08/11/2017,23.80,BID,22.85,23.80,22.70,3162900.00
07/11/2017,22.85,BID,22.70,23.05,22.60,2397470.00
06/11/2017,22.85,BID,22.40,22.85,22.25,2248950.00
03/11/2017,22.40,BID,21.80,22.40,21.50,2000100.00
02/11/2017,21.90,BID,22.40,22.55,21.50,2240060.00
01/11/2017,22.40,BID,21.85,22.45,21.85,2540230.00
31/10/2017,21.85,BID,21.80,22.15,21.50,2860900.00
30/10/2017,21.85,BID,21.20,22.30,21.20,5516030.00
27/10/2017,21.20,BID,20.70,21.20,20.55,1525120.00
26/10/2017,20.70,BID,20.90,21.20,20.30,1949360.00
25/10/2017,21.00,BID,20.70,21.30,20.70,1419710.00
24/10/2017,20.75,BID,20.65,20.90,20.60,991780.00
23/10/2017,20.90,BID,21.20,21.45,20.80,2104280.00
20/10/2017,21.40,BID,21.10,21.45,21.10,2795090.00
19/10/2017,21.25,BID,21.20,21.35,20.80,2221120.00
18/10/2017,21.40,BID,21.50,21.70,21.30,3877330.00
17/10/2017,21.50,BID,20.40,21.50,20.40,5851150.00
16/10/2017,20.35,BID,20.20,20.45,20.20,1723790.00
13/10/2017,20.20,BID,20.10,20.25,20.05,720350.00
12/10/2017,20.15,BID,20.30,20.45,20.15,1237240.00
11/10/2017,20.30,BID,20.10,20.45,20.05,2054250.00
10/10/2017,20.00,BID,20.00,20.20,19.95,786110.00
09/10/2017,20.00,BID,20.20,20.30,20.00,1931480.00
06/10/2017,19.95,BID,19.85,20.20,19.80,2512220.00
05/10/2017,19.90,BID,20.20,20.25,19.85,1259970.00
04/10/2017,20.05,BID,19.90,20.20,19.85,1798560.00
03/10/2017,19.85,BID,19.80,20.20,19.70,2747020.00
02/10/2017,19.70,BID,19.60,20.00,19.60,1316100.00
29/09/2017,19.60,BID,19.65,19.85,19.60,2047180.00
28/09/2017,19.65,BID,20.20,20.40,19.65,2620840.00
27/09/2017,20.20,BID,20.40,20.50,20.20,1270120.00
26/09/2017,20.40,BID,20.40,20.60,20.35,1400280.00
25/09/2017,20.40,BID,20.60,20.65,20.30,1296670.00
22/09/2017,20.60,BID,20.70,20.90,20.60,1539180.00
21/09/2017,20.85,BID,20.40,20.90,20.35,3542580.00
20/09/2017,20.50,BID,20.65,20.65,20.40,1165030.00
19/09/2017,20.65,BID,20.60,20.85,20.45,1771760.00
18/09/2017,20.50,BID,20.40,20.70,20.35,1867500.00
15/09/2017,20.40,BID,20.65,20.65,20.35,761660.00
14/09/2017,20.65,BID,20.35,20.85,20.30,1630270.00
13/09/2017,20.50,BID,20.65,20.70,20.35,865900.00
12/09/2017,20.50,BID,20.10,20.70,20.05,1086660.00
11/09/2017,20.20,BID,20.20,20.60,20.00,1595410.00
08/09/2017,20.35,BID,20.85,20.85,20.35,2150240.00
07/09/2017,20.85,BID,20.55,21.20,20.55,2388710.00
06/09/2017,20.60,BID,20.70,20.90,20.45,2638220.00
05/09/2017,20.95,BID,21.00,21.00,20.60,1769650.00
01/09/2017,21.05,BID,21.10,21.60,20.75,3772890.00
