DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,56.70,FPT,57.30,57.30,55.90,3930560.00
16/11/2017,57.00,FPT,57.40,58.70,56.60,3733760.00
15/11/2017,56.90,FPT,54.10,57.00,54.00,4665890.00
14/11/2017,53.90,FPT,54.50,55.50,53.50,4332100.00
13/11/2017,54.00,FPT,52.20,54.80,51.90,4769280.00
10/11/2017,52.20,FPT,52.50,53.30,52.20,1369700.00
09/11/2017,52.60,FPT,53.40,53.50,52.40,1720600.00
08/11/2017,53.00,FPT,51.20,53.00,51.00,3385930.00
07/11/2017,51.20,FPT,51.50,51.50,50.90,1141790.00
06/11/2017,51.40,FPT,51.40,51.80,50.90,1608490.00
03/11/2017,51.00,FPT,50.00,51.00,49.40,1200390.00
02/11/2017,50.50,FPT,50.90,51.40,49.80,1244900.00
01/11/2017,50.80,FPT,50.50,51.00,50.40,907980.00
31/10/2017,50.40,FPT,50.00,51.40,49.60,1618160.00
30/10/2017,50.00,FPT,50.20,50.80,49.90,1707190.00
27/10/2017,50.20,FPT,49.40,50.20,49.15,734980.00
26/10/2017,49.60,FPT,49.80,49.90,49.00,1089860.00
25/10/2017,49.70,FPT,49.50,49.80,49.30,768500.00
24/10/2017,49.30,FPT,49.30,49.80,49.15,879390.00
23/10/2017,49.30,FPT,50.30,50.30,49.30,1116150.00
20/10/2017,50.30,FPT,50.30,50.70,50.00,767080.00
19/10/2017,50.60,FPT,50.50,51.20,50.10,977340.00
18/10/2017,50.50,FPT,51.40,51.90,50.50,1237160.00
17/10/2017,51.50,FPT,51.50,51.50,50.90,861260.00
16/10/2017,51.40,FPT,51.00,52.00,50.90,1249640.00
13/10/2017,51.20,FPT,51.20,51.30,50.60,1078760.00
12/10/2017,51.00,FPT,50.00,51.40,50.00,2004500.00
11/10/2017,49.90,FPT,49.40,50.50,49.30,2540980.00
10/10/2017,49.30,FPT,48.75,49.30,48.75,1234640.00
09/10/2017,48.80,FPT,49.00,49.00,48.60,585830.00
06/10/2017,48.75,FPT,48.30,48.80,48.30,569960.00
05/10/2017,48.30,FPT,48.40,48.95,48.00,658270.00
04/10/2017,48.05,FPT,47.90,48.20,47.80,518400.00
03/10/2017,47.85,FPT,48.20,48.20,47.65,1087970.00
02/10/2017,48.20,FPT,48.75,48.95,48.05,911190.00
29/09/2017,48.75,FPT,48.90,49.00,48.60,395560.00
28/09/2017,48.95,FPT,49.00,49.25,48.40,774370.00
27/09/2017,49.00,FPT,49.00,49.40,48.70,868830.00
26/09/2017,49.00,FPT,48.85,49.00,48.50,878850.00
25/09/2017,48.85,FPT,49.75,49.75,48.85,745050.00
22/09/2017,49.45,FPT,49.60,49.95,49.40,1394280.00
21/09/2017,49.40,FPT,48.90,49.60,48.75,2667670.00
20/09/2017,48.65,FPT,48.65,48.75,48.35,631410.00
19/09/2017,48.40,FPT,48.50,48.85,48.40,869330.00
18/09/2017,48.35,FPT,48.35,48.40,48.00,803430.00
15/09/2017,48.20,FPT,48.30,48.50,48.00,794420.00
14/09/2017,48.35,FPT,49.00,49.00,48.35,857090.00
13/09/2017,48.75,FPT,48.30,49.40,48.30,1944610.00
12/09/2017,48.10,FPT,47.50,48.10,47.40,853680.00
11/09/2017,47.35,FPT,47.70,48.20,47.30,843320.00
08/09/2017,47.70,FPT,48.00,48.00,47.70,478140.00
07/09/2017,47.90,FPT,48.00,48.30,47.90,479950.00
06/09/2017,48.20,FPT,48.45,48.45,47.80,510590.00
05/09/2017,48.50,FPT,48.60,48.60,48.25,447330.00
01/09/2017,48.60,FPT,48.60,48.65,48.30,268680.00
31/08/2017,48.50,FPT,47.80,48.80,47.80,1115030.00
30/08/2017,47.80,FPT,47.65,47.90,47.55,322140.00
29/08/2017,47.75,FPT,47.50,48.10,47.45,828090.00
28/08/2017,47.60,FPT,47.30,47.60,47.25,569140.00
25/08/2017,47.50,FPT,47.80,47.85,47.50,374570.00
24/08/2017,47.70,FPT,47.40,47.80,47.20,433820.00
23/08/2017,47.20,FPT,47.00,47.50,47.00,517300.00
22/08/2017,47.10,FPT,47.70,47.75,47.10,416720.00
21/08/2017,47.75,FPT,48.00,48.00,47.50,355750.00
18/08/2017,47.50,FPT,47.40,47.80,46.90,363920.00
17/08/2017,47.40,FPT,48.00,48.20,47.40,640030.00
16/08/2017,48.60,FPT,48.90,48.90,48.45,814430.00
15/08/2017,48.90,FPT,49.20,49.20,48.50,820690.00
14/08/2017,49.20,FPT,50.00,50.00,49.20,773240.00
11/08/2017,49.45,FPT,49.00,49.50,48.60,548460.00
10/08/2017,48.90,FPT,48.00,48.95,48.00,872820.00
09/08/2017,48.40,FPT,48.90,48.90,48.15,1842380.00
08/08/2017,48.95,FPT,49.85,50.00,48.95,1460460.00
07/08/2017,49.85,FPT,50.10,50.10,49.70,766980.00
04/08/2017,50.10,FPT,50.30,50.40,49.55,827080.00
03/08/2017,50.10,FPT,49.70,51.10,49.50,1998770.00
02/08/2017,49.40,FPT,49.15,49.90,48.70,2150390.00
01/08/2017,49.00,FPT,48.45,49.45,48.20,1455870.00
31/07/2017,48.35,FPT,48.50,48.60,48.10,663380.00
28/07/2017,48.55,FPT,48.20,48.65,47.90,1611740.00
