DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,13.20,KBC,13.25,13.30,13.05,1919320.00
16/11/2017,13.25,KBC,13.30,13.45,13.15,1966540.00
15/11/2017,13.30,KBC,12.70,13.35,12.60,4513810.00
14/11/2017,12.75,KBC,12.60,12.80,12.45,1899950.00
13/11/2017,12.55,KBC,12.80,12.80,12.45,2425850.00
10/11/2017,12.70,KBC,12.75,12.80,12.65,2031960.00
09/11/2017,12.75,KBC,12.70,12.90,12.65,1681290.00
08/11/2017,12.70,KBC,12.95,13.05,12.65,3363770.00
07/11/2017,13.00,KBC,13.00,13.15,12.90,2051410.00
06/11/2017,13.05,KBC,12.90,13.20,12.65,2758190.00
03/11/2017,12.70,KBC,11.90,12.70,11.90,5084190.00
02/11/2017,11.90,KBC,12.30,12.50,11.90,2927500.00
01/11/2017,12.45,KBC,12.60,12.70,12.30,2148740.00
31/10/2017,12.85,KBC,12.95,12.95,12.45,2542970.00
30/10/2017,12.95,KBC,13.10,13.30,12.60,2254030.00
27/10/2017,13.00,KBC,12.60,13.00,12.35,2015210.00
26/10/2017,12.50,KBC,13.20,13.25,12.50,4445060.00
25/10/2017,13.15,KBC,13.25,13.30,13.10,2012810.00
24/10/2017,13.25,KBC,13.25,13.30,13.10,3933230.00
23/10/2017,13.30,KBC,13.30,13.45,13.15,3920490.00
20/10/2017,13.30,KBC,13.25,13.65,13.25,4696880.00
19/10/2017,13.20,KBC,13.25,13.50,13.20,5129480.00
18/10/2017,13.25,KBC,13.20,13.35,13.15,2441130.00
17/10/2017,13.20,KBC,13.35,13.35,13.15,2055880.00
16/10/2017,13.35,KBC,13.50,13.50,13.30,1501960.00
13/10/2017,13.50,KBC,13.20,13.60,13.20,2272040.00
12/10/2017,13.20,KBC,13.30,13.30,13.20,1499760.00
11/10/2017,13.30,KBC,13.45,13.50,13.05,4014720.00
10/10/2017,13.45,KBC,13.50,13.65,13.45,2486990.00
09/10/2017,13.50,KBC,14.00,14.00,13.50,2150520.00
06/10/2017,14.00,KBC,14.00,14.15,13.90,1120270.00
05/10/2017,14.00,KBC,14.35,14.35,13.95,2775120.00
04/10/2017,14.25,KBC,14.15,14.25,14.10,1550230.00
03/10/2017,14.15,KBC,14.50,14.55,14.15,1248240.00
02/10/2017,14.50,KBC,14.65,14.65,14.30,895460.00
29/09/2017,14.60,KBC,14.35,14.70,14.30,2071570.00
28/09/2017,14.45,KBC,14.20,14.50,14.20,1994950.00
27/09/2017,14.10,KBC,14.20,14.25,14.10,1567910.00
26/09/2017,14.20,KBC,14.40,14.40,14.15,1846930.00
25/09/2017,14.45,KBC,14.40,14.45,14.25,1381530.00
22/09/2017,14.40,KBC,14.50,14.60,14.35,1270760.00
21/09/2017,14.50,KBC,14.60,14.75,14.50,1286390.00
20/09/2017,14.60,KBC,15.00,15.00,14.60,1862690.00
19/09/2017,15.00,KBC,14.65,15.00,14.40,2387150.00
18/09/2017,14.50,KBC,14.60,14.80,14.50,2550660.00
15/09/2017,14.60,KBC,14.90,14.95,14.50,3956220.00
14/09/2017,14.90,KBC,15.00,15.05,14.65,2676220.00
13/09/2017,14.90,KBC,15.05,15.10,14.90,1693880.00
12/09/2017,15.05,KBC,15.10,15.15,14.95,1917940.00
11/09/2017,15.10,KBC,15.05,15.20,14.95,1477720.00
08/09/2017,15.05,KBC,15.35,15.40,15.05,1425850.00
07/09/2017,15.35,KBC,15.30,15.35,15.15,1640620.00
06/09/2017,15.35,KBC,15.20,15.35,15.00,1631480.00
05/09/2017,15.20,KBC,15.10,15.35,14.85,2115990.00
01/09/2017,15.05,KBC,15.20,15.20,15.05,891130.00
31/08/2017,15.10,KBC,15.20,15.25,15.05,1896050.00
30/08/2017,15.25,KBC,15.20,15.35,15.20,654810.00
29/08/2017,15.30,KBC,15.45,15.45,15.25,2294660.00
28/08/2017,15.35,KBC,15.00,15.40,14.95,4706290.00
25/08/2017,14.80,KBC,14.65,14.80,14.60,1729490.00
24/08/2017,14.65,KBC,14.60,14.65,14.50,1096460.00
23/08/2017,14.55,KBC,14.60,14.60,14.50,1324090.00
22/08/2017,14.65,KBC,14.75,14.80,14.50,1637730.00
21/08/2017,14.75,KBC,14.50,14.80,14.35,2095650.00
18/08/2017,14.50,KBC,14.20,14.50,14.00,983420.00
17/08/2017,14.10,KBC,14.25,14.50,14.00,1470650.00
16/08/2017,14.25,KBC,14.55,14.55,14.25,2725510.00
15/08/2017,14.55,KBC,14.70,14.75,14.55,1400840.00
14/08/2017,14.70,KBC,14.75,14.85,14.70,785490.00
11/08/2017,14.60,KBC,14.55,14.70,14.55,733780.00
10/08/2017,14.55,KBC,14.60,14.80,14.55,1571540.00
09/08/2017,14.55,KBC,15.00,15.00,14.55,1625540.00
08/08/2017,14.95,KBC,15.00,15.10,14.95,1888900.00
07/08/2017,15.00,KBC,14.95,15.05,14.85,1637570.00
04/08/2017,14.90,KBC,15.00,15.10,14.90,1347030.00
03/08/2017,15.00,KBC,15.15,15.20,14.90,1229560.00
02/08/2017,15.15,KBC,14.85,15.25,14.80,2468030.00
01/08/2017,14.85,KBC,14.65,15.05,14.65,2608150.00
31/07/2017,14.65,KBC,15.00,15.00,14.50,3858410.00
28/07/2017,15.05,KBC,15.15,15.25,15.05,2392960.00
27/07/2017,15.15,KBC,15.35,15.35,15.15,1504630.00
26/07/2017,15.25,KBC,15.20,15.45,15.15,2010390.00
25/07/2017,15.15,KBC,15.15,15.35,15.10,1469940.00
24/07/2017,15.10,KBC,15.00,15.25,14.95,1522000.00
21/07/2017,15.00,KBC,15.00,15.30,15.00,1719390.00
20/07/2017,15.00,KBC,15.25,15.35,14.95,3239190.00
19/07/2017,15.20,KBC,15.35,15.45,15.20,2152330.00
18/07/2017,15.30,KBC,15.20,15.40,15.10,2597640.00
17/07/2017,15.45,KBC,16.15,16.20,15.05,6737160.00
14/07/2017,16.15,KBC,16.25,16.40,16.10,2501520.00
13/07/2017,16.25,KBC,16.25,16.30,16.10,1566980.00
12/07/2017,16.20,KBC,16.20,16.35,16.15,2642460.00
11/07/2017,16.15,KBC,16.20,16.35,16.00,2575580.00
10/07/2017,16.20,KBC,16.70,16.70,16.15,3521610.00
07/07/2017,16.60,KBC,17.00,17.15,16.60,5182210.00
06/07/2017,16.95,KBC,17.05,17.15,16.95,2283510.00
05/07/2017,17.05,KBC,17.10,17.20,17.00,1898910.00
04/07/2017,17.10,KBC,17.00,17.25,16.85,3456560.00
03/07/2017,16.85,KBC,16.85,17.10,16.80,2219500.00
30/06/2017,16.85,KBC,16.95,17.00,16.80,1616310.00
29/06/2017,16.90,KBC,16.95,17.15,16.85,2685960.00
28/06/2017,16.80,KBC,16.95,17.00,16.80,1351330.00
27/06/2017,16.90,KBC,17.20,17.20,16.75,2157100.00
26/06/2017,17.20,KBC,17.20,17.45,17.05,2996700.00
23/06/2017,17.10,KBC,17.10,17.30,16.95,2483180.00
22/06/2017,17.10,KBC,17.30,17.65,17.10,5969090.00
21/06/2017,17.00,KBC,17.10,17.15,16.80,3683410.00
20/06/2017,17.20,KBC,16.60,17.20,16.60,6720450.00
19/06/2017,16.55,KBC,16.40,16.60,16.30,2866860.00
16/06/2017,16.20,KBC,16.30,16.40,16.20,2438840.00
15/06/2017,16.20,KBC,16.20,16.30,16.10,900410.00
14/06/2017,16.20,KBC,16.35,16.45,16.20,1223190.00
13/06/2017,16.35,KBC,16.35,16.45,16.10,2874120.00
12/06/2017,16.35,KBC,16.55,16.60,16.35,1768720.00
09/06/2017,16.55,KBC,16.30,16.65,16.25,3776230.00
08/06/2017,16.25,KBC,16.00,16.40,16.00,3366200.00
07/06/2017,16.00,KBC,16.20,16.25,16.00,2467080.00
06/06/2017,16.10,KBC,16.10,16.20,16.00,1490980.00
05/06/2017,16.10,KBC,16.20,16.30,16.05,1209330.00
02/06/2017,16.20,KBC,16.20,16.45,16.15,1958890.00
01/06/2017,16.20,KBC,16.05,16.35,15.95,3522770.00
31/05/2017,15.80,KBC,15.80,16.05,15.65,2334190.00
30/05/2017,15.85,KBC,16.25,16.25,15.80,3741330.00
29/05/2017,16.30,KBC,16.20,16.30,16.10,2111390.00
26/05/2017,16.20,KBC,16.55,16.55,16.20,3607550.00
25/05/2017,16.50,KBC,16.50,16.70,16.45,3949590.00
24/05/2017,16.45,KBC,16.50,16.60,16.40,2134240.00
23/05/2017,16.50,KBC,16.80,16.85,16.40,3634780.00
22/05/2017,16.80,KBC,16.30,16.95,16.30,6351850.00
19/05/2017,16.25,KBC,16.35,16.40,16.10,3788710.00
18/05/2017,16.25,KBC,16.20,16.60,16.00,4854240.00
17/05/2017,16.25,KBC,16.00,16.25,15.85,5001490.00
16/05/2017,16.05,KBC,16.45,16.65,16.00,5015400.00
15/05/2017,16.40,KBC,16.70,16.75,16.40,3840320.00
12/05/2017,16.45,KBC,16.10,16.60,16.00,7019020.00
11/05/2017,16.00,KBC,15.95,16.30,15.90,4806000.00
10/05/2017,15.95,KBC,15.50,16.40,15.50,5680390.00
09/05/2017,15.50,KBC,15.05,15.75,15.05,6017630.00
08/05/2017,15.10,KBC,15.05,15.20,14.95,2751640.00
05/05/2017,15.00,KBC,15.10,15.15,15.00,1749640.00
04/05/2017,15.05,KBC,15.30,15.45,15.05,4065310.00
03/05/2017,15.25,KBC,14.95,15.30,14.95,3942400.00
28/04/2017,14.85,KBC,14.90,15.00,14.85,1016290.00
27/04/2017,14.95,KBC,14.95,15.10,14.90,2026180.00
26/04/2017,14.95,KBC,14.85,15.00,14.85,857530.00
25/04/2017,14.90,KBC,14.95,15.00,14.80,1414160.00
24/04/2017,14.90,KBC,15.00,15.05,14.90,2554440.00
21/04/2017,14.95,KBC,15.10,15.10,14.95,1460530.00
20/04/2017,15.10,KBC,15.10,15.10,14.85,1118370.00
19/04/2017,15.05,KBC,14.80,15.20,14.75,3226090.00
18/04/2017,14.85,KBC,14.80,14.85,14.65,2621570.00
17/04/2017,14.80,KBC,14.80,15.00,14.70,1840030.00
14/04/2017,14.90,KBC,14.85,14.90,14.55,3285510.00
13/04/2017,14.90,KBC,15.10,15.30,14.90,1407040.00
12/04/2017,15.25,KBC,15.35,15.50,15.05,2800090.00
11/04/2017,15.35,KBC,15.05,15.40,15.05,4166090.00
10/04/2017,15.05,KBC,14.90,15.10,14.90,1205690.00
07/04/2017,15.00,KBC,14.85,15.00,14.70,1545960.00
05/04/2017,14.85,KBC,15.05,15.05,14.75,5173110.00
04/04/2017,15.05,KBC,14.95,15.10,14.90,2035470.00
03/04/2017,14.95,KBC,14.90,15.00,14.80,1730420.00
31/03/2017,15.00,KBC,15.50,15.55,14.90,4378780.00
30/03/2017,15.45,KBC,15.25,15.65,15.25,3520190.00
29/03/2017,15.30,KBC,15.50,15.50,15.25,1755200.00
28/03/2017,15.40,KBC,15.30,15.65,15.25,4802590.00
27/03/2017,15.25,KBC,14.70,15.30,14.65,9059960.00
24/03/2017,14.65,KBC,14.65,14.75,14.55,1817150.00
23/03/2017,14.60,KBC,14.35,14.65,14.35,2652520.00
22/03/2017,14.40,KBC,14.60,14.65,14.40,1920650.00
21/03/2017,14.60,KBC,14.55,14.70,14.50,1569450.00
20/03/2017,14.50,KBC,14.65,14.65,14.50,1388470.00
17/03/2017,14.50,KBC,14.55,14.70,14.50,1699960.00
16/03/2017,14.50,KBC,14.45,14.60,14.30,2358320.00
15/03/2017,14.35,KBC,14.50,14.50,14.30,1263000.00
14/03/2017,14.40,KBC,14.30,14.50,14.30,1839560.00
13/03/2017,14.30,KBC,14.40,14.50,14.25,1945130.00
10/03/2017,14.50,KBC,14.45,14.60,14.35,2603730.00
09/03/2017,14.50,KBC,14.90,15.00,14.50,1904290.00
08/03/2017,14.90,KBC,14.80,15.00,14.75,1638000.00
07/03/2017,14.85,KBC,14.90,15.15,14.80,5113090.00
06/03/2017,14.85,KBC,14.50,14.85,14.50,2945270.00
03/03/2017,14.45,KBC,14.50,14.55,14.30,1059050.00
02/03/2017,14.30,KBC,14.35,14.60,14.25,3288170.00
01/03/2017,14.25,KBC,14.40,14.55,14.15,2598990.00
28/02/2017,14.40,KBC,14.65,14.75,14.40,2882430.00
27/02/2017,14.70,KBC,14.30,14.75,14.30,3484400.00
24/02/2017,14.35,KBC,14.80,14.80,14.35,3751650.00
23/02/2017,14.65,KBC,15.10,15.15,14.60,4599690.00
22/02/2017,15.20,KBC,15.30,15.35,14.95,4142070.00
21/02/2017,15.35,KBC,15.15,15.40,15.05,5008980.00
20/02/2017,15.20,KBC,14.65,15.25,14.55,8008150.00
17/02/2017,14.60,KBC,14.30,14.60,14.25,3027850.00
16/02/2017,14.30,KBC,14.45,14.60,14.30,3011050.00
15/02/2017,14.40,KBC,14.35,14.60,14.30,2972980.00
14/02/2017,14.25,KBC,14.35,14.40,14.25,1555480.00
13/02/2017,14.30,KBC,14.30,14.45,14.25,2388120.00
10/02/2017,14.35,KBC,14.45,14.50,14.20,2031590.00
09/02/2017,14.45,KBC,14.10,14.50,14.00,4101230.00
08/02/2017,14.10,KBC,13.70,14.20,13.70,3382560.00
07/02/2017,13.75,KBC,13.50,13.80,13.40,2951080.00
06/02/2017,13.60,KBC,13.85,13.85,13.60,1618490.00
03/02/2017,13.85,KBC,13.80,13.90,13.70,2000930.00
02/02/2017,13.85,KBC,13.65,13.90,13.60,1509200.00
25/01/2017,13.65,KBC,13.55,13.65,13.50,879060.00
24/01/2017,13.55,KBC,13.50,13.65,13.45,775000.00
23/01/2017,13.60,KBC,13.85,13.85,13.50,1528380.00
20/01/2017,13.85,KBC,13.60,13.90,13.50,3303610.00
19/01/2017,13.50,KBC,13.50,13.70,13.25,3064060.00
18/01/2017,13.60,KBC,13.50,13.65,13.45,2146060.00
17/01/2017,13.60,KBC,13.70,13.80,13.30,4359960.00
16/01/2017,13.60,KBC,14.05,14.35,13.60,2677060.00
13/01/2017,14.25,KBC,14.30,14.35,14.15,2258490.00
12/01/2017,14.30,KBC,14.40,14.40,14.20,2114170.00
11/01/2017,14.40,KBC,14.25,14.45,14.20,2844430.00
10/01/2017,14.25,KBC,14.10,14.35,14.05,2526630.00
09/01/2017,14.15,KBC,14.35,14.45,14.15,2153730.00
06/01/2017,14.40,KBC,14.50,14.60,14.35,2567230.00
05/01/2017,14.50,KBC,14.10,14.55,14.00,5179700.00
04/01/2017,14.10,KBC,13.90,14.15,13.80,3519550.00
03/01/2017,13.95,KBC,13.80,14.00,13.70,1984970.00
30/12/2016,13.85,KBC,13.75,13.85,13.65,2193850.00
29/12/2016,13.80,KBC,13.65,13.80,13.60,2957870.00
28/12/2016,13.70,KBC,13.75,13.85,13.65,1716130.00
27/12/2016,13.75,KBC,13.70,13.80,13.60,1910860.00
26/12/2016,13.80,KBC,13.60,13.80,13.45,2524840.00
23/12/2016,13.55,KBC,13.20,13.55,13.05,1899270.00
22/12/2016,13.35,KBC,13.45,13.50,13.05,2916610.00
21/12/2016,13.40,KBC,13.70,13.70,13.40,2636910.00
20/12/2016,13.80,KBC,14.05,14.15,13.80,2404520.00
19/12/2016,14.20,KBC,13.70,14.20,13.70,2517290.00
16/12/2016,13.60,KBC,13.70,13.75,13.40,8203750.00
15/12/2016,13.70,KBC,13.60,13.75,13.20,2927510.00
14/12/2016,13.55,KBC,13.40,13.55,13.00,1937010.00
13/12/2016,13.45,KBC,13.50,13.55,12.90,3541890.00
