DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,60.80,NVL,60.90,61.40,60.60,1493820.00
16/11/2017,60.90,NVL,60.70,61.40,60.60,1270570.00
15/11/2017,60.70,NVL,60.70,60.80,60.40,1533010.00
14/11/2017,60.70,NVL,60.80,60.90,60.40,1474510.00
13/11/2017,60.80,NVL,60.80,61.00,60.70,1576500.00
10/11/2017,60.80,NVL,60.40,60.80,59.80,1636470.00
09/11/2017,60.40,NVL,61.00,61.00,59.90,1619350.00
08/11/2017,61.00,NVL,61.20,61.30,59.00,1593680.00
07/11/2017,61.20,NVL,61.40,61.50,61.10,1638960.00
06/11/2017,61.40,NVL,61.50,61.70,61.30,1536860.00
03/11/2017,61.50,NVL,61.80,62.00,61.40,1575050.00
02/11/2017,61.80,NVL,60.80,62.50,60.60,1756250.00
01/11/2017,60.80,NVL,60.80,61.00,60.50,1188120.00
31/10/2017,60.90,NVL,61.00,61.10,60.70,1286360.00
30/10/2017,61.00,NVL,61.00,61.20,60.90,1525520.00
27/10/2017,61.00,NVL,60.70,61.00,60.40,1492140.00
26/10/2017,60.70,NVL,60.80,60.80,60.10,1037620.00
25/10/2017,60.80,NVL,61.50,61.60,60.30,1163860.00
24/10/2017,61.50,NVL,61.60,61.70,61.20,1383120.00
23/10/2017,61.60,NVL,62.20,62.30,60.90,1596060.00
20/10/2017,62.20,NVL,62.90,63.00,61.80,1659810.00
19/10/2017,62.90,NVL,62.80,63.60,62.60,1793200.00
18/10/2017,62.60,NVL,63.10,63.20,62.60,1560500.00
17/10/2017,63.10,NVL,62.80,63.80,62.70,1567020.00
16/10/2017,62.80,NVL,61.70,63.50,61.70,1540200.00
13/10/2017,61.70,NVL,61.60,61.70,61.40,1537510.00
12/10/2017,61.60,NVL,61.50,61.80,61.30,1539590.00
11/10/2017,61.50,NVL,61.40,61.60,61.30,1680050.00
10/10/2017,61.40,NVL,61.40,61.50,61.20,1696610.00
09/10/2017,61.40,NVL,61.40,61.60,61.30,1541630.00
06/10/2017,61.40,NVL,61.40,61.60,61.20,1601350.00
05/10/2017,61.40,NVL,61.40,61.60,61.20,1510080.00
04/10/2017,61.40,NVL,61.40,61.60,61.20,1615410.00
03/10/2017,61.40,NVL,61.50,61.70,61.20,1912970.00
02/10/2017,61.50,NVL,61.50,62.10,61.50,1605810.00
29/09/2017,61.50,NVL,61.40,62.50,61.40,1875670.00
28/09/2017,61.40,NVL,61.40,61.80,61.30,1965890.00
27/09/2017,61.40,NVL,61.40,61.70,61.10,1905590.00
26/09/2017,61.40,NVL,61.50,61.90,61.10,2066050.00
25/09/2017,61.50,NVL,61.60,61.60,61.10,1914150.00
22/09/2017,61.60,NVL,61.70,61.80,61.20,1873610.00
21/09/2017,61.70,NVL,61.80,62.00,61.40,1966440.00
20/09/2017,61.80,NVL,61.90,62.10,61.30,1923410.00
19/09/2017,61.90,NVL,62.00,62.30,61.90,1938300.00
18/09/2017,62.10,NVL,63.50,63.50,61.80,1919620.00
15/09/2017,63.90,NVL,60.30,63.90,59.90,2624870.00
14/09/2017,60.30,NVL,60.00,60.30,59.40,1853780.00
13/09/2017,60.00,NVL,60.80,60.80,59.70,2057550.00
12/09/2017,60.80,NVL,59.90,61.80,59.50,2009460.00
11/09/2017,60.00,NVL,59.80,60.00,59.20,1670770.00
08/09/2017,60.00,NVL,59.90,60.00,59.00,1761420.00
07/09/2017,60.00,NVL,60.20,60.20,59.00,2046020.00
06/09/2017,60.20,NVL,60.10,60.20,58.70,2194100.00
05/09/2017,60.20,NVL,60.30,60.30,58.40,2253620.00
01/09/2017,60.30,NVL,60.20,60.30,59.60,1962880.00
31/08/2017,60.20,NVL,60.10,60.40,58.80,2004400.00
30/08/2017,60.10,NVL,60.10,60.10,58.90,1801580.00
29/08/2017,60.10,NVL,61.10,61.10,59.50,1764370.00
28/08/2017,61.10,NVL,61.90,61.90,60.70,1935460.00
25/08/2017,61.90,NVL,62.60,62.60,61.10,1882130.00
24/08/2017,62.60,NVL,62.80,63.20,62.40,1755350.00
23/08/2017,62.80,NVL,61.30,62.80,61.20,1808320.00
22/08/2017,61.20,NVL,61.20,61.40,60.90,1530980.00
