DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,34.80,REE,35.50,35.60,34.75,1277730.00
16/11/2017,35.25,REE,34.60,35.40,34.55,1892460.00
15/11/2017,34.40,REE,33.80,34.40,33.80,873840.00
14/11/2017,33.80,REE,33.70,34.25,33.00,1612590.00
13/11/2017,33.50,REE,33.80,33.90,33.45,808190.00
10/11/2017,33.90,REE,33.95,34.00,33.65,756430.00
09/11/2017,33.90,REE,33.00,34.35,33.00,1784450.00
08/11/2017,33.00,REE,33.00,33.15,32.80,1044840.00
07/11/2017,33.00,REE,33.45,33.45,32.95,869710.00
06/11/2017,33.25,REE,32.95,33.45,32.90,459010.00
03/11/2017,32.70,REE,32.00,32.95,31.90,931290.00
02/11/2017,32.00,REE,33.50,33.95,31.75,1897150.00
01/11/2017,33.70,REE,33.90,34.40,33.40,963110.00
31/10/2017,34.20,REE,34.30,34.40,33.70,748370.00
30/10/2017,34.45,REE,35.50,35.50,34.45,1595770.00
27/10/2017,35.00,REE,33.20,35.00,33.00,2230410.00
26/10/2017,33.50,REE,33.70,33.95,33.10,425290.00
25/10/2017,33.70,REE,33.50,34.00,33.20,707460.00
24/10/2017,33.50,REE,33.65,33.70,32.85,1829490.00
23/10/2017,33.70,REE,34.40,34.50,33.70,1187840.00
20/10/2017,34.50,REE,34.90,34.90,34.25,963830.00
19/10/2017,34.75,REE,35.00,35.00,34.70,337970.00
18/10/2017,34.90,REE,35.30,35.45,34.80,1170790.00
17/10/2017,35.10,REE,34.90,35.30,34.60,1519000.00
16/10/2017,34.55,REE,34.50,35.00,34.50,730530.00
13/10/2017,34.40,REE,34.30,34.85,34.30,584260.00
12/10/2017,34.50,REE,34.90,34.90,34.40,1053970.00
11/10/2017,34.80,REE,34.90,35.25,34.80,923710.00
10/10/2017,34.85,REE,34.70,34.95,34.40,1042140.00
09/10/2017,34.80,REE,34.55,35.25,34.55,1198450.00
06/10/2017,34.55,REE,34.95,34.95,34.55,455050.00
05/10/2017,34.65,REE,34.80,35.10,34.50,938820.00
04/10/2017,34.60,REE,34.50,34.65,34.35,549100.00
03/10/2017,34.40,REE,34.70,34.70,34.25,1505960.00
02/10/2017,34.75,REE,35.10,35.10,34.65,828690.00
29/09/2017,35.10,REE,34.75,35.10,34.55,1054210.00
28/09/2017,34.65,REE,35.10,35.40,34.55,2494950.00
27/09/2017,35.15,REE,35.60,35.65,35.15,1376830.00
26/09/2017,35.55,REE,35.90,36.00,35.35,1509870.00
25/09/2017,35.95,REE,36.15,36.45,35.95,774690.00
22/09/2017,36.25,REE,36.05,36.55,36.05,1165880.00
21/09/2017,36.10,REE,36.10,36.30,36.00,939190.00
20/09/2017,36.10,REE,36.30,36.35,36.10,711300.00
19/09/2017,36.25,REE,36.70,36.80,36.20,1609490.00
18/09/2017,36.50,REE,36.05,36.65,35.90,2546770.00
15/09/2017,36.00,REE,35.70,36.30,35.50,997540.00
14/09/2017,35.75,REE,36.20,36.30,35.75,1349930.00
13/09/2017,36.00,REE,36.00,36.40,35.90,1818000.00
12/09/2017,35.80,REE,35.20,35.90,35.05,1168250.00
11/09/2017,35.15,REE,35.20,35.60,35.00,889620.00
08/09/2017,35.20,REE,35.65,36.20,35.20,1058970.00
07/09/2017,35.65,REE,35.00,35.90,34.95,1547030.00
06/09/2017,35.10,REE,35.25,35.25,35.00,386920.00
05/09/2017,35.25,REE,35.30,35.50,34.90,927750.00
01/09/2017,35.25,REE,35.10,35.30,35.10,526640.00
31/08/2017,35.15,REE,34.45,35.35,34.45,995100.00
30/08/2017,34.45,REE,34.70,34.85,34.40,1020440.00
29/08/2017,34.75,REE,34.90,35.20,34.70,1164700.00
28/08/2017,35.10,REE,35.20,35.35,34.80,1100300.00
25/08/2017,35.35,REE,35.35,35.70,35.35,709740.00
24/08/2017,35.50,REE,35.00,35.60,35.00,863870.00
23/08/2017,35.00,REE,34.90,35.20,34.75,535970.00
22/08/2017,34.90,REE,35.30,35.35,34.75,930410.00
21/08/2017,35.30,REE,35.00,35.70,35.00,945800.00
18/08/2017,34.95,REE,34.50,35.40,34.30,1887430.00
17/08/2017,34.80,REE,35.70,35.70,34.65,1491410.00
16/08/2017,35.50,REE,36.00,36.10,35.50,1144120.00
15/08/2017,35.90,REE,36.60,36.65,35.80,1099210.00
14/08/2017,36.60,REE,35.80,36.60,35.80,829730.00
11/08/2017,35.90,REE,36.00,36.40,35.85,1146910.00
10/08/2017,36.20,REE,35.80,36.50,35.80,1398800.00
09/08/2017,35.90,REE,36.80,36.80,35.65,2780270.00
08/08/2017,36.90,REE,37.80,38.00,36.90,2354630.00
07/08/2017,37.80,REE,38.50,39.00,37.80,1377810.00
04/08/2017,38.40,REE,38.50,38.50,38.00,1444300.00
03/08/2017,38.20,REE,37.55,38.30,37.50,4071300.00
02/08/2017,37.00,REE,36.60,37.15,36.20,952630.00
01/08/2017,36.70,REE,37.00,37.35,36.70,1259910.00
31/07/2017,37.20,REE,36.40,37.40,36.20,1566140.00
28/07/2017,36.50,REE,37.00,37.10,36.10,2807850.00
27/07/2017,37.05,REE,36.50,37.40,36.15,1591560.00
26/07/2017,36.45,REE,36.45,36.70,36.15,1438890.00
25/07/2017,36.00,REE,35.00,36.00,34.90,1359040.00
24/07/2017,34.60,REE,35.00,35.20,34.50,715710.00
21/07/2017,35.00,REE,35.10,35.75,35.00,1054850.00
20/07/2017,35.00,REE,34.00,35.60,33.95,1334660.00
19/07/2017,33.95,REE,35.10,35.10,33.95,1725270.00
18/07/2017,34.70,REE,35.20,35.40,34.40,2103120.00
17/07/2017,35.45,REE,36.65,36.70,35.30,1583200.00
14/07/2017,36.60,REE,37.00,37.35,36.00,1205430.00
13/07/2017,36.70,REE,36.30,36.80,36.20,778910.00
12/07/2017,36.25,REE,36.20,36.35,35.60,717700.00
11/07/2017,36.00,REE,36.10,36.30,35.35,1333090.00
10/07/2017,36.05,REE,37.10,37.50,35.70,2387930.00
07/07/2017,37.20,REE,37.60,38.05,37.20,1179180.00
06/07/2017,37.45,REE,37.65,37.75,37.40,679840.00
05/07/2017,37.60,REE,36.75,37.60,36.70,955030.00
04/07/2017,36.90,REE,36.55,36.95,36.50,915360.00
03/07/2017,36.55,REE,36.90,36.95,36.50,983730.00
30/06/2017,36.90,REE,37.00,37.35,36.85,707450.00
29/06/2017,37.10,REE,37.20,37.55,36.80,732660.00
28/06/2017,37.00,REE,36.20,37.00,36.15,1002350.00
27/06/2017,36.25,REE,37.00,37.00,36.00,795300.00
26/06/2017,36.70,REE,36.40,37.15,36.40,1083270.00
23/06/2017,36.45,REE,36.10,36.45,35.95,880870.00
22/06/2017,36.35,REE,36.65,36.80,36.30,1084890.00
21/06/2017,36.65,REE,35.50,36.65,35.00,1374830.00
20/06/2017,35.65,REE,35.60,35.90,35.50,1019510.00
19/06/2017,35.60,REE,35.75,35.95,35.20,1075560.00
16/06/2017,35.80,REE,35.10,35.80,35.05,1222090.00
15/06/2017,34.90,REE,33.90,34.95,33.70,2005870.00
14/06/2017,33.80,REE,34.00,34.20,33.70,681080.00
13/06/2017,33.80,REE,33.50,34.00,33.30,448020.00
12/06/2017,33.50,REE,33.70,33.70,33.40,632380.00
09/06/2017,33.70,REE,33.60,34.30,33.60,789890.00
08/06/2017,33.60,REE,34.00,34.00,33.35,987680.00
07/06/2017,34.00,REE,34.50,34.60,33.95,1242860.00
06/06/2017,34.00,REE,33.00,34.20,32.90,2450690.00
05/06/2017,32.75,REE,31.90,32.75,31.90,854010.00
02/06/2017,32.00,REE,32.10,32.40,31.70,674140.00
01/06/2017,32.10,REE,31.85,32.30,31.80,663980.00
31/05/2017,31.65,REE,31.70,32.30,31.00,1010460.00
30/05/2017,31.75,REE,33.10,33.20,31.70,3892430.00
29/05/2017,33.10,REE,33.85,33.90,33.10,1059690.00
26/05/2017,33.50,REE,33.45,33.85,33.05,766600.00
25/05/2017,33.45,REE,33.45,34.30,33.25,1281710.00
24/05/2017,33.45,REE,32.80,33.70,32.70,1937570.00
23/05/2017,32.80,REE,32.40,33.40,32.40,1500440.00
22/05/2017,32.40,REE,33.80,33.90,32.30,1559030.00
19/05/2017,32.95,REE,30.80,32.95,30.80,3621310.00
18/05/2017,30.80,REE,30.90,31.10,30.50,1810340.00
17/05/2017,31.10,REE,31.00,31.30,30.50,1561360.00
16/05/2017,31.10,REE,31.40,32.50,31.10,3209340.00
15/05/2017,31.50,REE,31.85,31.95,31.50,1119660.00
12/05/2017,31.90,REE,31.25,32.35,31.10,1397660.00
11/05/2017,31.00,REE,30.80,31.50,30.25,2109100.00
10/05/2017,30.75,REE,31.85,32.10,30.75,2797630.00
09/05/2017,31.80,REE,30.90,32.50,30.90,2104500.00
08/05/2017,30.90,REE,29.50,30.90,29.10,2641020.00
05/05/2017,29.30,REE,28.90,29.60,28.90,1221400.00
04/05/2017,29.10,REE,30.10,30.20,28.80,2484740.00
03/05/2017,29.75,REE,28.45,29.75,28.30,4631230.00
28/04/2017,27.85,REE,27.80,28.15,27.60,2444980.00
27/04/2017,27.30,REE,26.70,28.00,26.65,1934790.00
26/04/2017,26.65,REE,26.20,26.80,26.15,806950.00
25/04/2017,26.00,REE,25.60,26.00,25.45,812480.00
24/04/2017,25.65,REE,26.00,26.30,25.60,416450.00
21/04/2017,26.00,REE,26.00,26.45,26.00,387590.00
20/04/2017,26.00,REE,25.90,26.20,25.70,424930.00
19/04/2017,25.70,REE,25.40,25.90,25.30,489660.00
18/04/2017,25.40,REE,25.50,25.60,25.05,895340.00
17/04/2017,25.35,REE,26.30,26.40,25.35,1378610.00
14/04/2017,26.30,REE,26.90,26.90,26.20,743620.00
13/04/2017,26.80,REE,26.85,26.95,26.60,730670.00
12/04/2017,26.65,REE,26.60,27.20,26.55,945170.00
11/04/2017,26.60,REE,26.60,26.75,26.45,543610.00
10/04/2017,26.60,REE,26.65,26.90,26.60,652660.00
07/04/2017,26.55,REE,26.70,26.85,26.40,443900.00
05/04/2017,26.80,REE,27.00,27.10,26.80,897390.00
04/04/2017,27.10,REE,27.05,27.75,27.05,701910.00
03/04/2017,27.20,REE,27.00,27.20,26.90,890900.00
31/03/2017,27.30,REE,27.50,27.50,27.05,1111800.00
30/03/2017,27.60,REE,28.00,28.15,27.55,1053200.00
29/03/2017,28.00,REE,27.90,28.65,27.80,3838730.00
28/03/2017,27.75,REE,26.70,27.85,26.70,2395020.00
27/03/2017,26.70,REE,26.80,26.80,26.20,1166500.00
24/03/2017,26.80,REE,27.10,27.10,26.50,719230.00
23/03/2017,27.00,REE,26.15,27.10,26.10,530810.00
22/03/2017,26.30,REE,26.75,27.15,26.30,2077820.00
21/03/2017,26.80,REE,27.50,27.60,26.50,3321110.00
20/03/2017,27.80,REE,27.70,28.50,27.60,876220.00
17/03/2017,27.70,REE,28.00,28.05,27.60,823140.00
16/03/2017,28.00,REE,27.60,28.00,27.50,993410.00
15/03/2017,27.60,REE,28.10,28.40,27.60,1086780.00
14/03/2017,28.10,REE,27.40,28.20,27.30,1940790.00
13/03/2017,27.20,REE,27.00,27.70,26.60,2369630.00
10/03/2017,27.00,REE,26.00,27.20,26.00,2465120.00
09/03/2017,25.80,REE,25.95,26.10,25.80,423980.00
08/03/2017,26.10,REE,26.10,26.30,25.95,700560.00
07/03/2017,26.15,REE,25.70,26.20,25.50,1126470.00
06/03/2017,25.70,REE,24.75,25.85,24.75,856740.00
03/03/2017,24.65,REE,24.65,24.70,24.30,508570.00
02/03/2017,24.80,REE,24.60,24.85,24.55,214210.00
01/03/2017,24.75,REE,24.90,24.90,24.10,852800.00
28/02/2017,25.10,REE,25.80,25.80,25.10,632100.00
27/02/2017,26.85,REE,26.40,26.90,26.40,457760.00
24/02/2017,26.50,REE,26.70,26.80,26.45,656260.00
23/02/2017,26.70,REE,27.00,27.00,26.55,671560.00
22/02/2017,26.95,REE,27.20,27.20,26.70,1052440.00
21/02/2017,27.25,REE,27.50,27.55,27.20,474520.00
20/02/2017,27.50,REE,27.20,27.70,27.20,739330.00
17/02/2017,27.30,REE,27.00,27.30,26.80,1161830.00
16/02/2017,27.00,REE,27.40,27.50,27.00,1942590.00
15/02/2017,27.60,REE,27.60,28.00,27.45,1174570.00
14/02/2017,27.50,REE,27.90,27.90,27.25,1342620.00
13/02/2017,27.80,REE,27.60,27.80,27.40,797380.00
10/02/2017,27.40,REE,27.70,27.70,27.40,769250.00
09/02/2017,27.40,REE,26.90,27.65,26.80,1034740.00
08/02/2017,26.90,REE,26.90,27.10,26.60,392460.00
07/02/2017,26.90,REE,26.25,27.10,26.25,1345670.00
06/02/2017,26.40,REE,26.00,26.70,26.00,1166370.00
03/02/2017,25.90,REE,26.15,26.15,25.80,582330.00
02/02/2017,26.00,REE,25.90,26.15,25.90,1200750.00
25/01/2017,25.70,REE,25.20,26.00,25.20,809290.00
24/01/2017,25.35,REE,24.90,25.40,24.90,430290.00
23/01/2017,24.85,REE,25.40,25.50,24.75,1499940.00
20/01/2017,25.60,REE,25.75,25.75,25.40,609520.00
19/01/2017,25.75,REE,25.80,25.80,25.55,412640.00
18/01/2017,25.75,REE,25.20,26.10,25.00,1291080.00
17/01/2017,25.00,REE,25.15,25.25,24.90,621020.00
16/01/2017,25.00,REE,25.10,25.35,24.90,923110.00
13/01/2017,25.10,REE,25.20,25.30,24.95,1002510.00
12/01/2017,25.00,REE,24.60,25.20,24.60,1217460.00
11/01/2017,24.70,REE,24.20,24.70,24.15,875320.00
10/01/2017,24.20,REE,24.90,24.90,24.20,1819960.00
09/01/2017,24.90,REE,25.00,25.20,24.80,561390.00
06/01/2017,25.00,REE,25.25,25.40,25.00,404490.00
05/01/2017,25.30,REE,25.10,25.45,24.80,1459250.00
04/01/2017,25.00,REE,25.10,25.30,24.80,686290.00
03/01/2017,25.00,REE,24.80,25.05,24.65,965090.00
30/12/2016,24.65,REE,24.60,24.70,24.50,598650.00
29/12/2016,24.60,REE,24.60,25.10,24.60,1654910.00
28/12/2016,24.60,REE,24.80,24.90,24.55,920420.00
27/12/2016,24.70,REE,23.90,24.70,23.85,1549080.00
26/12/2016,23.95,REE,24.00,24.10,23.80,579510.00
23/12/2016,24.00,REE,24.10,24.15,23.80,1181420.00
22/12/2016,23.90,REE,24.15,24.20,23.85,974870.00
21/12/2016,24.15,REE,23.90,24.35,23.90,1142340.00
20/12/2016,23.95,REE,23.60,24.15,23.60,1683510.00
19/12/2016,23.85,REE,23.50,24.05,23.50,1026430.00
16/12/2016,23.40,REE,23.30,23.70,23.05,851080.00
15/12/2016,23.30,REE,22.20,23.30,22.00,2311370.00
14/12/2016,22.20,REE,21.60,22.20,21.60,536200.00
13/12/2016,21.60,REE,21.70,21.80,21.40,286620.00
12/12/2016,21.70,REE,22.10,22.25,21.70,535160.00
09/12/2016,22.30,REE,22.35,22.35,22.20,305820.00
08/12/2016,22.35,REE,22.30,22.40,22.05,592310.00
07/12/2016,22.20,REE,22.00,22.25,21.80,486290.00
06/12/2016,21.90,REE,22.30,22.60,21.80,674220.00
05/12/2016,22.50,REE,22.10,22.55,21.70,1460310.00
02/12/2016,22.05,REE,22.20,22.50,21.85,497390.00
01/12/2016,22.00,REE,22.50,22.50,21.95,703290.00
30/11/2016,22.20,REE,21.50,22.25,21.50,999030.00
29/11/2016,21.50,REE,21.60,21.65,21.40,266070.00
28/11/2016,21.60,REE,21.65,21.70,21.40,420060.00
25/11/2016,21.70,REE,21.70,21.90,21.60,301700.00
24/11/2016,21.60,REE,21.65,21.70,21.55,405740.00
23/11/2016,21.65,REE,21.85,21.85,21.60,372220.00
22/11/2016,21.70,REE,21.95,22.20,21.70,541060.00
21/11/2016,22.05,REE,22.00,22.40,22.00,427730.00
18/11/2016,22.00,REE,21.80,22.30,21.65,885660.00
17/11/2016,21.70,REE,21.60,21.75,21.45,500340.00
