DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,21.35,SBT,21.70,21.90,21.35,4020550.00
16/11/2017,21.40,SBT,21.50,21.65,21.10,3261000.00
15/11/2017,21.25,SBT,21.55,21.65,21.10,2155720.00
14/11/2017,21.65,SBT,21.70,22.05,21.50,1898040.00
13/11/2017,21.60,SBT,22.30,22.65,21.60,3607610.00
10/11/2017,21.45,SBT,20.40,21.45,20.20,5683730.00
09/11/2017,20.05,SBT,20.40,20.70,19.90,3309340.00
08/11/2017,20.50,SBT,20.50,20.95,20.35,2240840.00
07/11/2017,20.55,SBT,19.50,20.65,19.50,4073950.00
06/11/2017,19.95,SBT,20.50,20.70,19.60,7661330.00
03/11/2017,20.95,SBT,20.85,21.30,20.80,504520.00
02/11/2017,21.20,SBT,20.90,21.40,20.80,1263440.00
01/11/2017,20.90,SBT,20.60,21.10,20.25,1228420.00
31/10/2017,20.70,SBT,20.90,20.90,20.40,806010.00
30/10/2017,21.00,SBT,21.60,21.75,20.80,767600.00
27/10/2017,21.75,SBT,22.50,22.70,21.40,1749300.00
26/10/2017,22.50,SBT,23.40,23.60,22.10,1990850.00
25/10/2017,22.85,SBT,21.00,22.85,21.00,2044110.00
24/10/2017,21.40,SBT,21.60,21.60,20.85,338780.00
23/10/2017,21.00,SBT,21.50,21.80,20.40,1554120.00
20/10/2017,21.50,SBT,22.60,22.80,21.45,1903430.00
19/10/2017,22.70,SBT,23.40,23.45,22.70,1076740.00
18/10/2017,23.25,SBT,23.55,23.75,23.00,707010.00
17/10/2017,23.55,SBT,23.70,24.00,23.50,904340.00
16/10/2017,23.90,SBT,24.10,24.40,23.70,412190.00
13/10/2017,24.15,SBT,23.80,24.50,23.20,1950980.00
12/10/2017,23.80,SBT,24.50,24.50,23.80,1295220.00
11/10/2017,24.50,SBT,24.75,24.75,24.15,1088590.00
10/10/2017,24.55,SBT,24.70,24.70,24.20,796530.00
09/10/2017,24.70,SBT,24.50,24.75,24.20,1096400.00
06/10/2017,24.50,SBT,25.50,25.50,24.50,886500.00
05/10/2017,25.25,SBT,24.80,25.30,24.30,2043390.00
04/10/2017,24.85,SBT,24.60,25.00,24.10,1061560.00
03/10/2017,24.40,SBT,25.15,25.50,24.20,1015730.00
02/10/2017,25.35,SBT,26.20,26.40,25.35,783860.00
29/09/2017,26.00,SBT,27.00,27.00,26.00,2499420.00
28/09/2017,27.00,SBT,27.25,27.50,26.45,1601080.00
27/09/2017,27.30,SBT,26.40,27.30,26.00,2703250.00
26/09/2017,26.45,SBT,26.40,27.00,26.25,1144230.00
25/09/2017,26.40,SBT,27.40,27.55,26.40,1278430.00
22/09/2017,27.55,SBT,27.00,27.85,27.00,1450600.00
21/09/2017,27.30,SBT,27.00,27.45,25.60,1904700.00
20/09/2017,27.00,SBT,29.25,29.30,27.00,3955650.00
19/09/2017,29.00,SBT,29.35,29.35,28.70,1036710.00
18/09/2017,29.30,SBT,29.40,29.40,28.95,978550.00
15/09/2017,29.00,SBT,29.95,30.10,29.00,3567870.00
14/09/2017,29.85,SBT,29.25,30.00,29.20,969790.00
13/09/2017,29.00,SBT,29.60,30.10,29.00,973060.00
12/09/2017,29.40,SBT,29.20,29.70,28.90,1319390.00
11/09/2017,29.00,SBT,30.55,30.55,29.00,2152600.00
08/09/2017,30.55,SBT,30.50,30.85,30.25,991540.00
07/09/2017,30.70,SBT,30.00,30.80,30.00,1060290.00
06/09/2017,30.30,SBT,31.50,31.50,30.00,1502840.00
05/09/2017,31.00,SBT,31.70,31.80,30.30,1575830.00
01/09/2017,31.80,SBT,32.00,32.40,31.30,1377390.00
31/08/2017,32.15,SBT,32.00,32.75,31.75,1186350.00
30/08/2017,32.50,SBT,32.20,33.00,31.40,1882100.00
29/08/2017,31.35,SBT,29.30,31.35,29.30,2584430.00
28/08/2017,29.30,SBT,29.40,29.45,29.00,1423510.00
25/08/2017,28.90,SBT,30.20,30.50,28.90,1203290.00
24/08/2017,30.20,SBT,29.00,30.45,28.90,3105390.00
23/08/2017,29.00,SBT,28.80,29.30,28.80,1650840.00
22/08/2017,28.95,SBT,28.80,29.15,28.20,1041960.00
21/08/2017,28.90,SBT,28.60,29.50,28.60,900350.00
18/08/2017,29.20,SBT,29.00,29.35,28.50,988020.00
17/08/2017,28.90,SBT,29.00,29.20,28.75,1643640.00
16/08/2017,29.10,SBT,28.60,29.20,27.90,2450370.00
15/08/2017,29.50,SBT,30.20,30.30,29.35,1629440.00
14/08/2017,30.70,SBT,32.30,32.30,30.20,955350.00
11/08/2017,30.20,SBT,27.25,30.20,27.25,12028660.00
10/08/2017,29.30,SBT,29.30,29.30,29.30,1532340.00
09/08/2017,31.50,SBT,31.50,31.50,31.50,29870.00
08/08/2017,33.85,SBT,33.85,33.85,33.85,545630.00
07/08/2017,36.35,SBT,36.35,36.35,36.35,22550.00
04/08/2017,39.05,SBT,39.85,40.00,38.40,4054590.00
03/08/2017,39.85,SBT,41.45,41.65,38.75,4396630.00
02/08/2017,41.65,SBT,41.40,41.70,41.05,1824080.00
01/08/2017,41.50,SBT,40.45,41.60,40.45,2253600.00
31/07/2017,40.45,SBT,41.10,41.10,39.10,2755530.00
28/07/2017,41.10,SBT,41.20,42.05,40.75,3942340.00
27/07/2017,41.20,SBT,41.40,41.40,40.90,2535480.00
26/07/2017,41.40,SBT,40.20,41.40,40.15,2132670.00
25/07/2017,40.20,SBT,39.50,40.20,39.50,3135350.00
24/07/2017,39.50,SBT,39.55,39.75,39.10,2449520.00
21/07/2017,39.55,SBT,38.40,40.00,38.25,4494600.00
20/07/2017,38.40,SBT,38.45,38.50,38.05,2507870.00
19/07/2017,38.45,SBT,38.20,38.75,37.95,3186220.00
18/07/2017,38.20,SBT,38.70,38.95,36.50,2788080.00
17/07/2017,38.80,SBT,38.40,39.05,38.40,4040410.00
14/07/2017,38.40,SBT,36.50,38.40,36.50,4428120.00
13/07/2017,36.50,SBT,35.95,36.60,35.95,2490670.00
12/07/2017,36.00,SBT,35.20,36.00,35.20,2438880.00
11/07/2017,35.20,SBT,35.15,35.20,34.85,1516660.00
10/07/2017,35.20,SBT,35.25,35.35,35.05,1968830.00
07/07/2017,35.35,SBT,35.30,35.60,35.30,1756950.00
06/07/2017,35.30,SBT,35.30,35.35,35.15,1514270.00
05/07/2017,35.30,SBT,35.20,35.35,35.00,1345320.00
04/07/2017,35.25,SBT,35.05,35.50,34.75,1490800.00
03/07/2017,35.10,SBT,35.05,35.20,35.05,1473680.00
30/06/2017,35.05,SBT,35.10,35.10,34.50,1940110.00
29/06/2017,35.10,SBT,35.10,35.50,35.10,1753570.00
28/06/2017,35.20,SBT,35.20,35.30,34.95,1374540.00
27/06/2017,35.30,SBT,35.25,35.45,35.10,1877840.00
26/06/2017,35.25,SBT,35.90,35.90,35.25,1935400.00
23/06/2017,35.90,SBT,36.00,36.10,35.65,1905690.00
22/06/2017,36.20,SBT,36.30,36.30,35.95,1512880.00
21/06/2017,36.45,SBT,35.80,36.70,35.75,2013260.00
20/06/2017,36.00,SBT,35.80,36.00,35.30,2292650.00
19/06/2017,35.70,SBT,33.90,35.70,33.90,3001960.00
16/06/2017,33.80,SBT,33.00,33.80,33.00,1966160.00
15/06/2017,33.20,SBT,33.60,33.60,33.10,2469260.00
14/06/2017,33.60,SBT,33.80,33.80,33.30,2562680.00
13/06/2017,33.80,SBT,33.90,34.00,33.50,1979230.00
12/06/2017,33.90,SBT,34.00,34.00,32.80,1857780.00
09/06/2017,34.00,SBT,33.60,34.35,33.20,2267680.00
08/06/2017,33.60,SBT,34.00,34.30,32.90,2548140.00
07/06/2017,34.25,SBT,34.00,34.50,33.70,2585670.00
06/06/2017,33.90,SBT,31.70,33.90,31.15,4262680.00
05/06/2017,31.70,SBT,31.40,31.90,31.40,2207160.00
02/06/2017,31.40,SBT,31.10,31.45,31.00,2407430.00
01/06/2017,31.10,SBT,30.00,31.40,29.90,4204380.00
31/05/2017,30.05,SBT,30.20,30.50,29.90,3381900.00
30/05/2017,30.30,SBT,31.10,31.25,29.60,2803210.00
29/05/2017,31.20,SBT,29.40,31.20,29.35,4269010.00
26/05/2017,29.35,SBT,28.45,29.40,28.40,2230630.00
25/05/2017,28.45,SBT,28.60,29.10,28.20,2237350.00
24/05/2017,29.10,SBT,27.40,29.30,27.10,5074060.00
23/05/2017,27.40,SBT,26.80,27.50,26.75,3205400.00
22/05/2017,26.90,SBT,26.00,27.20,25.90,4511920.00
19/05/2017,26.20,SBT,24.90,26.20,24.90,4678470.00
18/05/2017,25.20,SBT,25.30,25.35,25.10,3228840.00
17/05/2017,25.35,SBT,25.10,25.45,25.00,3295220.00
16/05/2017,25.10,SBT,25.20,25.50,24.90,4287280.00
15/05/2017,25.30,SBT,25.80,26.30,25.30,2826330.00
12/05/2017,25.90,SBT,25.70,26.10,25.10,2557370.00
11/05/2017,25.70,SBT,24.00,26.20,24.00,4968710.00
10/05/2017,24.50,SBT,25.10,25.20,24.50,1582100.00
09/05/2017,25.30,SBT,25.50,25.50,24.90,1543580.00
08/05/2017,25.50,SBT,26.00,26.50,24.40,1739200.00
05/05/2017,25.90,SBT,27.00,27.00,25.60,2507350.00
04/05/2017,27.50,SBT,27.20,27.70,26.25,3997450.00
03/05/2017,28.20,SBT,27.00,28.25,27.00,3778640.00
28/04/2017,27.30,SBT,25.55,27.30,25.50,2229030.00
27/04/2017,25.55,SBT,24.20,25.70,24.20,1576630.00
26/04/2017,24.20,SBT,24.25,24.45,24.20,1382700.00
25/04/2017,24.25,SBT,24.30,24.30,23.75,1173490.00
24/04/2017,24.30,SBT,24.40,24.40,24.15,1027360.00
21/04/2017,24.40,SBT,24.45,24.45,24.30,1457440.00
20/04/2017,24.45,SBT,24.40,24.45,24.30,942430.00
19/04/2017,24.50,SBT,24.40,24.50,24.20,770360.00
18/04/2017,24.50,SBT,24.40,24.50,24.20,857620.00
17/04/2017,24.50,SBT,24.30,24.50,24.30,1237350.00
14/04/2017,24.50,SBT,24.30,24.50,23.80,876090.00
13/04/2017,24.40,SBT,24.35,24.40,24.25,1025240.00
12/04/2017,24.35,SBT,24.80,24.80,24.10,1382630.00
11/04/2017,24.80,SBT,25.10,25.30,24.60,1246750.00
10/04/2017,25.20,SBT,25.20,25.30,25.15,942900.00
07/04/2017,25.30,SBT,25.25,25.40,25.10,1026420.00
05/04/2017,25.25,SBT,25.05,25.45,24.95,1271560.00
04/04/2017,25.10,SBT,24.80,25.10,24.80,1473010.00
03/04/2017,24.90,SBT,24.70,24.90,24.50,960260.00
31/03/2017,24.70,SBT,24.70,25.20,24.40,1924540.00
30/03/2017,24.70,SBT,24.30,24.80,24.30,1152400.00
29/03/2017,24.45,SBT,24.50,24.80,24.45,1009000.00
