DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,33.10,ACB,33.20,33.40,32.60,2288362.00
16/11/2017,33.10,ACB,32.60,33.20,32.50,4200524.00
15/11/2017,32.50,ACB,32.80,33.00,32.20,1475303.00
14/11/2017,32.20,ACB,31.80,32.90,31.60,1848620.00
13/11/2017,31.80,ACB,32.10,32.30,31.70,1861000.00
10/11/2017,32.00,ACB,31.50,32.30,31.50,2280926.00
09/11/2017,31.50,ACB,31.40,31.70,31.20,1171786.00
08/11/2017,31.40,ACB,30.90,31.40,30.80,1340921.00
07/11/2017,30.80,ACB,30.80,31.10,30.70,1229311.00
06/11/2017,30.80,ACB,30.00,30.90,30.00,798248.00
03/11/2017,30.40,ACB,29.80,30.50,29.30,2147564.00
02/11/2017,29.80,ACB,30.70,30.80,29.80,3243328.00
01/11/2017,30.70,ACB,30.60,31.00,30.60,954826.00
31/10/2017,30.60,ACB,31.90,31.90,30.30,2365341.00
30/10/2017,31.30,ACB,32.10,32.40,31.30,1998813.00
27/10/2017,31.90,ACB,31.50,31.90,31.20,909500.00
26/10/2017,31.50,ACB,31.90,32.10,31.40,1924655.00
25/10/2017,31.90,ACB,31.20,32.10,31.00,1101897.00
24/10/2017,31.10,ACB,27.70,31.20,27.70,2602005.00
23/10/2017,30.70,ACB,31.70,31.70,30.70,2601188.00
20/10/2017,31.70,ACB,32.40,32.50,31.50,2328487.00
19/10/2017,32.40,ACB,32.90,33.00,32.20,1941687.00
18/10/2017,32.90,ACB,33.20,33.60,32.80,2272988.00
17/10/2017,32.80,ACB,32.70,32.80,32.60,953781.00
