DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,24.05,BID,24.20,24.30,23.50,2518270.00
16/11/2017,24.15,BID,24.05,24.35,23.70,2383080.00
15/11/2017,24.20,BID,24.40,24.40,24.00,1143070.00
14/11/2017,24.30,BID,23.95,24.40,23.50,1976900.00
13/11/2017,23.95,BID,23.65,23.95,23.60,1456000.00
10/11/2017,23.60,BID,23.30,24.20,23.30,2655350.00
09/11/2017,23.50,BID,23.80,23.90,23.40,2328420.00
08/11/2017,23.80,BID,22.85,23.80,22.70,3162900.00
07/11/2017,22.85,BID,22.70,23.05,22.60,2397470.00
06/11/2017,22.85,BID,22.40,22.85,22.25,2248950.00
03/11/2017,22.40,BID,21.80,22.40,21.50,2000100.00
02/11/2017,21.90,BID,22.40,22.55,21.50,2240060.00
01/11/2017,22.40,BID,21.85,22.45,21.85,2540230.00
31/10/2017,21.85,BID,21.80,22.15,21.50,2860900.00
30/10/2017,21.85,BID,21.20,22.30,21.20,5516030.00
27/10/2017,21.20,BID,20.70,21.20,20.55,1525120.00
26/10/2017,20.70,BID,20.90,21.20,20.30,1949360.00
25/10/2017,21.00,BID,20.70,21.30,20.70,1419710.00
24/10/2017,20.75,BID,20.65,20.90,20.60,991780.00
23/10/2017,20.90,BID,21.20,21.45,20.80,2104280.00
20/10/2017,21.40,BID,21.10,21.45,21.10,2795090.00
19/10/2017,21.25,BID,21.20,21.35,20.80,2221120.00
18/10/2017,21.40,BID,21.50,21.70,21.30,3877330.00
17/10/2017,21.50,BID,20.40,21.50,20.40,5851150.00
