DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,87.00,BMP,89.40,89.50,86.70,652450.00
16/11/2017,89.40,BMP,89.50,89.90,88.00,595400.00
15/11/2017,88.90,BMP,87.00,89.00,87.00,472720.00
14/11/2017,87.00,BMP,89.80,91.50,86.60,1448350.00
13/11/2017,89.60,BMP,84.80,89.60,84.70,2034780.00
10/11/2017,83.80,BMP,81.60,83.80,81.00,1053170.00
09/11/2017,80.20,BMP,77.80,80.70,77.50,755360.00
08/11/2017,77.40,BMP,77.30,78.10,77.00,285620.00
07/11/2017,77.30,BMP,77.30,78.00,76.80,297280.00
06/11/2017,77.20,BMP,74.90,77.20,74.10,483860.00
03/11/2017,74.00,BMP,75.50,75.50,73.40,355790.00
02/11/2017,75.00,BMP,73.80,75.60,73.80,317620.00
01/11/2017,74.10,BMP,74.00,74.80,74.00,211900.00
31/10/2017,73.90,BMP,74.60,74.70,73.50,184280.00
30/10/2017,74.60,BMP,75.20,75.60,74.00,390600.00
27/10/2017,75.60,BMP,76.00,76.20,74.90,275730.00
26/10/2017,76.00,BMP,76.50,76.70,75.00,334110.00
25/10/2017,76.80,BMP,78.00,78.00,76.60,194190.00
24/10/2017,78.00,BMP,76.90,78.40,76.00,254680.00
23/10/2017,77.00,BMP,78.60,78.60,76.80,296830.00
20/10/2017,78.60,BMP,79.10,80.10,77.50,510190.00
19/10/2017,79.00,BMP,77.00,79.90,77.00,878640.00
18/10/2017,76.20,BMP,76.30,76.90,75.50,317910.00
17/10/2017,76.20,BMP,77.00,77.00,75.80,322850.00
