DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,231.00,CTD,234.00,235.50,229.70,109260.00
16/11/2017,234.00,CTD,234.00,238.00,232.00,126090.00
15/11/2017,237.70,CTD,239.00,244.90,235.00,105500.00
14/11/2017,239.00,CTD,236.90,240.00,235.00,347860.00
13/11/2017,235.00,CTD,231.00,236.00,229.00,102900.00
10/11/2017,231.00,CTD,230.00,235.00,228.80,176450.00
09/11/2017,230.00,CTD,236.00,236.20,229.50,105390.00
08/11/2017,236.00,CTD,235.70,239.90,235.50,195690.00
07/11/2017,235.70,CTD,235.00,236.30,221.90,124280.00
06/11/2017,238.00,CTD,228.00,238.00,225.00,156320.00
03/11/2017,225.00,CTD,226.00,226.50,223.90,62770.00
02/11/2017,226.00,CTD,222.00,227.00,222.00,245180.00
01/11/2017,222.00,CTD,219.90,224.00,219.00,97930.00
31/10/2017,218.00,CTD,225.00,225.20,218.00,110380.00
30/10/2017,222.90,CTD,216.00,222.90,215.20,356230.00
27/10/2017,214.00,CTD,210.00,214.00,210.00,101610.00
26/10/2017,210.00,CTD,210.00,211.00,209.00,111970.00
25/10/2017,210.00,CTD,211.00,211.90,208.60,16590.00
24/10/2017,210.00,CTD,207.10,213.00,206.00,110070.00
23/10/2017,207.90,CTD,215.00,215.00,207.30,114980.00
20/10/2017,214.00,CTD,213.00,215.20,213.00,93290.00
19/10/2017,213.00,CTD,213.00,213.90,211.00,62690.00
18/10/2017,213.00,CTD,213.00,214.80,212.50,81700.00
17/10/2017,212.40,CTD,212.00,213.00,211.50,120370.00
