DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,20.60,CTG,21.10,21.20,20.55,3115450.00
16/11/2017,21.00,CTG,20.70,21.00,20.70,3825870.00
15/11/2017,20.80,CTG,20.80,20.90,20.65,2307390.00
14/11/2017,20.90,CTG,20.45,21.00,20.40,2725640.00
13/11/2017,20.40,CTG,20.60,20.60,20.25,3130510.00
10/11/2017,20.40,CTG,19.80,20.60,19.60,4956130.00
09/11/2017,19.70,CTG,19.90,19.95,19.55,1263570.00
08/11/2017,19.90,CTG,19.40,20.00,19.40,4277710.00
07/11/2017,19.50,CTG,19.30,19.75,19.30,3253350.00
06/11/2017,19.40,CTG,18.95,19.40,18.75,2844000.00
03/11/2017,18.75,CTG,18.50,18.75,18.40,1098240.00
02/11/2017,18.50,CTG,18.85,19.10,18.50,1511390.00
01/11/2017,18.80,CTG,18.75,18.95,18.70,833680.00
31/10/2017,18.75,CTG,18.90,19.00,18.75,928260.00
30/10/2017,18.95,CTG,19.25,19.40,18.95,2370310.00
27/10/2017,19.10,CTG,18.75,19.10,18.75,757670.00
26/10/2017,18.80,CTG,19.15,19.15,18.80,1340130.00
25/10/2017,19.10,CTG,18.95,19.15,18.85,1403530.00
24/10/2017,18.85,CTG,18.80,19.05,18.80,932500.00
23/10/2017,18.95,CTG,19.45,19.65,18.90,1928540.00
20/10/2017,19.45,CTG,19.45,19.65,19.30,1536340.00
19/10/2017,19.50,CTG,19.50,19.60,19.35,1161020.00
18/10/2017,19.50,CTG,19.60,19.85,19.40,3831330.00
17/10/2017,19.40,CTG,19.10,19.45,19.10,3031680.00
