DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,100.00,DHG,103.80,103.80,99.30,251680.00
16/11/2017,102.60,DHG,100.00,103.80,99.50,314830.00
15/11/2017,99.50,DHG,96.80,100.00,96.20,408510.00
14/11/2017,95.20,DHG,94.50,97.00,94.50,256070.00
13/11/2017,94.00,DHG,95.90,95.90,93.40,676310.00
10/11/2017,95.80,DHG,97.30,97.30,95.50,213970.00
09/11/2017,97.00,DHG,97.10,97.50,96.50,141840.00
08/11/2017,96.20,DHG,96.80,96.80,95.80,105660.00
07/11/2017,96.10,DHG,96.90,96.90,95.00,123930.00
06/11/2017,97.00,DHG,98.00,98.00,95.80,182420.00
03/11/2017,95.80,DHG,90.00,95.80,90.00,169990.00
02/11/2017,90.00,DHG,91.00,95.00,90.00,309560.00
01/11/2017,95.00,DHG,99.90,99.90,93.40,614250.00
31/10/2017,100.30,DHG,105.00,105.00,100.00,396560.00
30/10/2017,105.00,DHG,105.80,108.00,104.60,193990.00
27/10/2017,105.80,DHG,106.00,107.00,105.80,111210.00
26/10/2017,105.90,DHG,105.10,108.00,105.10,141170.00
25/10/2017,105.90,DHG,107.00,108.00,105.80,196200.00
24/10/2017,108.00,DHG,110.00,111.50,107.00,254420.00
23/10/2017,111.60,DHG,114.00,114.00,110.50,212050.00
20/10/2017,114.20,DHG,114.40,118.90,114.00,445310.00
19/10/2017,116.50,DHG,112.50,117.00,111.30,504930.00
18/10/2017,111.90,DHG,113.50,113.50,111.90,216230.00
17/10/2017,113.00,DHG,111.30,114.90,110.90,385150.00
