DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,21.00,DPM,21.25,21.50,20.80,457360.00
16/11/2017,21.25,DPM,20.60,21.25,20.45,646690.00
15/11/2017,20.60,DPM,20.40,20.65,20.40,308380.00
14/11/2017,20.50,DPM,20.80,20.85,20.45,313910.00
13/11/2017,20.80,DPM,20.65,20.90,20.60,582130.00
10/11/2017,20.65,DPM,20.60,20.65,20.45,254250.00
09/11/2017,20.60,DPM,20.50,20.75,20.40,461900.00
08/11/2017,20.40,DPM,20.20,20.80,20.20,677760.00
07/11/2017,20.15,DPM,20.40,20.40,20.15,644870.00
06/11/2017,20.25,DPM,20.90,20.90,20.25,394440.00
03/11/2017,20.60,DPM,20.85,20.90,20.60,584270.00
02/11/2017,20.90,DPM,20.90,21.10,20.85,233420.00
01/11/2017,20.90,DPM,21.30,21.30,20.90,311940.00
31/10/2017,21.30,DPM,21.30,21.45,21.25,502230.00
30/10/2017,21.35,DPM,21.40,21.50,21.35,437210.00
27/10/2017,21.45,DPM,21.30,21.45,21.25,266330.00
26/10/2017,21.30,DPM,21.65,21.65,21.20,461520.00
25/10/2017,21.65,DPM,21.75,21.80,21.50,621540.00
24/10/2017,21.80,DPM,21.90,21.90,21.70,596120.00
23/10/2017,21.95,DPM,22.00,22.00,21.85,264400.00
20/10/2017,22.05,DPM,22.10,22.10,21.90,350140.00
19/10/2017,22.05,DPM,22.00,22.20,22.00,265690.00
18/10/2017,22.00,DPM,22.10,22.30,22.00,526710.00
17/10/2017,22.30,DPM,22.40,22.40,22.20,575300.00
