DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,41.50,GMD,42.00,42.45,41.40,906320.00
16/11/2017,42.35,GMD,42.30,42.40,41.80,493670.00
15/11/2017,41.70,GMD,40.50,42.30,40.50,1066000.00
14/11/2017,40.30,GMD,39.00,40.90,38.70,859180.00
13/11/2017,39.00,GMD,39.60,39.60,38.80,373110.00
10/11/2017,39.40,GMD,38.80,39.50,38.10,542920.00
09/11/2017,38.80,GMD,39.55,39.55,38.70,669320.00
08/11/2017,39.55,GMD,39.20,39.80,39.10,399340.00
07/11/2017,39.50,GMD,39.00,39.90,38.70,444660.00
06/11/2017,39.00,GMD,39.00,39.80,38.80,384680.00
03/11/2017,39.00,GMD,38.40,39.60,36.00,1041060.00
02/11/2017,38.00,GMD,39.60,40.20,37.30,967520.00
01/11/2017,40.00,GMD,40.40,40.80,40.00,314370.00
31/10/2017,40.50,GMD,40.90,41.00,40.45,379640.00
30/10/2017,40.65,GMD,41.70,41.80,40.65,486720.00
27/10/2017,41.50,GMD,41.20,41.50,41.00,314200.00
26/10/2017,41.20,GMD,41.60,41.80,40.80,429570.00
25/10/2017,41.80,GMD,42.20,42.20,41.50,190620.00
24/10/2017,41.70,GMD,41.50,41.95,41.50,410040.00
23/10/2017,41.60,GMD,42.20,42.40,41.50,785410.00
20/10/2017,42.20,GMD,43.25,43.50,42.20,1252240.00
19/10/2017,43.20,GMD,43.70,43.75,43.20,338610.00
18/10/2017,43.50,GMD,44.30,44.30,43.50,477600.00
17/10/2017,44.30,GMD,43.10,44.40,43.05,746890.00
