DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,38.20,HPG,38.60,38.70,37.95,2824720.00
16/11/2017,38.65,HPG,38.70,39.20,38.50,3823530.00
15/11/2017,38.75,HPG,37.50,38.90,37.45,5923670.00
14/11/2017,37.40,HPG,36.80,37.80,36.60,3223090.00
13/11/2017,36.65,HPG,37.25,37.25,36.30,2541840.00
10/11/2017,37.25,HPG,37.20,37.25,36.90,2695850.00
09/11/2017,37.05,HPG,37.20,37.25,36.95,2984290.00
08/11/2017,37.05,HPG,36.90,37.30,36.65,4626280.00
07/11/2017,36.90,HPG,37.00,37.00,36.60,2598200.00
06/11/2017,36.90,HPG,36.50,37.05,36.40,2911740.00
03/11/2017,36.20,HPG,35.00,36.20,34.80,3961010.00
02/11/2017,34.80,HPG,35.70,36.20,34.80,4642790.00
01/11/2017,35.70,HPG,36.80,36.90,35.65,5695800.00
31/10/2017,37.00,HPG,36.80,37.40,36.30,3596630.00
30/10/2017,36.80,HPG,37.80,37.80,36.80,3182530.00
27/10/2017,37.70,HPG,37.05,37.70,36.90,2307070.00
26/10/2017,37.00,HPG,37.35,37.35,36.70,2990890.00
25/10/2017,37.35,HPG,37.40,37.70,37.35,1865230.00
24/10/2017,37.50,HPG,37.45,37.50,37.05,2536880.00
23/10/2017,37.10,HPG,37.10,37.50,36.65,3548920.00
20/10/2017,37.45,HPG,37.80,37.95,36.90,5134390.00
19/10/2017,37.80,HPG,38.00,38.45,37.75,3847220.00
18/10/2017,38.40,HPG,39.00,39.30,38.20,3257880.00
17/10/2017,39.00,HPG,37.90,39.00,37.90,4209020.00
