DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,23.60,HSG,24.10,24.20,23.50,3416200.00
16/11/2017,24.10,HSG,24.30,24.45,24.00,2400420.00
15/11/2017,24.35,HSG,23.90,24.45,23.55,3788200.00
14/11/2017,23.85,HSG,22.70,23.90,22.60,4784870.00
13/11/2017,22.60,HSG,23.00,23.20,22.45,3130800.00
10/11/2017,23.00,HSG,22.80,23.25,22.70,2971500.00
09/11/2017,22.80,HSG,23.50,23.50,22.80,4639380.00
08/11/2017,23.50,HSG,23.00,23.50,22.80,2921250.00
07/11/2017,23.30,HSG,23.30,23.65,22.40,2919290.00
06/11/2017,23.30,HSG,22.70,23.80,22.60,3850580.00
03/11/2017,22.50,HSG,21.00,22.55,20.95,6046330.00
02/11/2017,21.10,HSG,21.90,22.35,20.80,4363590.00
01/11/2017,22.10,HSG,23.10,23.25,22.00,4072790.00
31/10/2017,23.15,HSG,22.70,23.65,21.85,3735040.00
30/10/2017,22.70,HSG,24.30,24.30,22.60,6317670.00
27/10/2017,24.30,HSG,25.60,25.60,23.50,5850240.00
26/10/2017,25.20,HSG,25.40,26.00,24.90,3536210.00
25/10/2017,25.05,HSG,26.20,26.20,24.90,6490680.00
24/10/2017,26.20,HSG,26.70,26.80,25.90,2571030.00
23/10/2017,26.70,HSG,27.10,27.20,26.55,1662820.00
20/10/2017,27.15,HSG,27.50,27.55,27.05,1139970.00
19/10/2017,27.45,HSG,27.30,27.55,27.30,1648000.00
18/10/2017,27.30,HSG,27.70,27.90,26.95,4204390.00
17/10/2017,27.70,HSG,28.00,28.15,27.60,2504310.00
