DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,13.20,KBC,13.25,13.30,13.05,1919320.00
16/11/2017,13.25,KBC,13.30,13.45,13.15,1966540.00
15/11/2017,13.30,KBC,12.70,13.35,12.60,4513810.00
14/11/2017,12.75,KBC,12.60,12.80,12.45,1899950.00
13/11/2017,12.55,KBC,12.80,12.80,12.45,2425850.00
10/11/2017,12.70,KBC,12.75,12.80,12.65,2031960.00
09/11/2017,12.75,KBC,12.70,12.90,12.65,1681290.00
08/11/2017,12.70,KBC,12.95,13.05,12.65,3363770.00
07/11/2017,13.00,KBC,13.00,13.15,12.90,2051410.00
06/11/2017,13.05,KBC,12.90,13.20,12.65,2758190.00
03/11/2017,12.70,KBC,11.90,12.70,11.90,5084190.00
02/11/2017,11.90,KBC,12.30,12.50,11.90,2927500.00
01/11/2017,12.45,KBC,12.60,12.70,12.30,2148740.00
31/10/2017,12.85,KBC,12.95,12.95,12.45,2542970.00
30/10/2017,12.95,KBC,13.10,13.30,12.60,2254030.00
27/10/2017,13.00,KBC,12.60,13.00,12.35,2015210.00
26/10/2017,12.50,KBC,13.20,13.25,12.50,4445060.00
25/10/2017,13.15,KBC,13.25,13.30,13.10,2012810.00
24/10/2017,13.25,KBC,13.25,13.30,13.10,3933230.00
23/10/2017,13.30,KBC,13.30,13.45,13.15,3920490.00
20/10/2017,13.30,KBC,13.25,13.65,13.25,4696880.00
19/10/2017,13.20,KBC,13.25,13.50,13.20,5129480.00
18/10/2017,13.25,KBC,13.20,13.35,13.15,2441130.00
17/10/2017,13.20,KBC,13.35,13.35,13.15,2055880.00
