DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,134.00,MWG,135.00,135.50,133.10,682340.00
16/11/2017,134.50,MWG,133.50,135.30,133.00,589230.00
15/11/2017,133.50,MWG,134.50,136.60,133.50,715210.00
14/11/2017,134.50,MWG,129.00,135.00,128.50,2057700.00
13/11/2017,128.00,MWG,128.90,128.90,127.30,543700.00
10/11/2017,128.90,MWG,129.00,130.30,127.60,595520.00
09/11/2017,129.00,MWG,128.00,130.50,128.00,963520.00
08/11/2017,128.00,MWG,126.30,128.00,126.30,500630.00
07/11/2017,126.30,MWG,127.10,127.40,125.90,404420.00
06/11/2017,127.00,MWG,126.30,128.40,126.00,407030.00
03/11/2017,125.50,MWG,120.00,125.50,120.00,596960.00
02/11/2017,120.00,MWG,126.50,126.90,119.10,1823520.00
01/11/2017,126.90,MWG,128.90,128.90,126.50,613970.00
31/10/2017,128.50,MWG,129.50,129.80,128.50,380140.00
30/10/2017,129.80,MWG,132.40,132.40,129.00,586820.00
27/10/2017,131.00,MWG,130.10,131.00,129.30,498290.00
26/10/2017,130.30,MWG,133.00,133.00,128.50,906180.00
25/10/2017,131.30,MWG,129.00,131.30,128.50,586890.00
24/10/2017,128.00,MWG,124.90,128.00,124.90,806950.00
23/10/2017,125.50,MWG,127.00,127.40,125.50,886300.00
20/10/2017,127.50,MWG,133.00,134.80,127.30,1759640.00
19/10/2017,132.00,MWG,128.50,132.00,128.50,643740.00
18/10/2017,128.50,MWG,127.80,130.20,127.10,789940.00
17/10/2017,127.60,MWG,127.00,128.00,126.50,438880.00
