DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,60.80,NVL,60.90,61.40,60.60,1493820.00
16/11/2017,60.90,NVL,60.70,61.40,60.60,1270570.00
15/11/2017,60.70,NVL,60.70,60.80,60.40,1533010.00
14/11/2017,60.70,NVL,60.80,60.90,60.40,1474510.00
13/11/2017,60.80,NVL,60.80,61.00,60.70,1576500.00
10/11/2017,60.80,NVL,60.40,60.80,59.80,1636470.00
09/11/2017,60.40,NVL,61.00,61.00,59.90,1619350.00
08/11/2017,61.00,NVL,61.20,61.30,59.00,1593680.00
07/11/2017,61.20,NVL,61.40,61.50,61.10,1638960.00
06/11/2017,61.40,NVL,61.50,61.70,61.30,1536860.00
03/11/2017,61.50,NVL,61.80,62.00,61.40,1575050.00
02/11/2017,61.80,NVL,60.80,62.50,60.60,1756250.00
01/11/2017,60.80,NVL,60.80,61.00,60.50,1188120.00
31/10/2017,60.90,NVL,61.00,61.10,60.70,1286360.00
30/10/2017,61.00,NVL,61.00,61.20,60.90,1525520.00
27/10/2017,61.00,NVL,60.70,61.00,60.40,1492140.00
26/10/2017,60.70,NVL,60.80,60.80,60.10,1037620.00
25/10/2017,60.80,NVL,61.50,61.60,60.30,1163860.00
24/10/2017,61.50,NVL,61.60,61.70,61.20,1383120.00
23/10/2017,61.60,NVL,62.20,62.30,60.90,1596060.00
20/10/2017,62.20,NVL,62.90,63.00,61.80,1659810.00
19/10/2017,62.90,NVL,62.80,63.60,62.60,1793200.00
18/10/2017,62.60,NVL,63.10,63.20,62.60,1560500.00
17/10/2017,63.10,NVL,62.80,63.80,62.70,1567020.00
