DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,182.00,ROS,180.50,182.10,180.30,1029570.00
16/11/2017,180.40,ROS,180.80,181.50,178.00,755730.00
15/11/2017,179.00,ROS,178.00,179.90,177.60,672980.00
14/11/2017,177.60,ROS,176.10,179.50,176.10,1306850.00
13/11/2017,176.10,ROS,175.00,179.50,174.00,984380.00
10/11/2017,174.60,ROS,164.00,179.00,162.50,1081700.00
09/11/2017,174.20,ROS,186.90,187.00,173.90,1205870.00
08/11/2017,186.90,ROS,205.50,207.10,186.60,1053550.00
07/11/2017,200.60,ROS,208.00,213.90,190.00,867430.00
06/11/2017,200.30,ROS,217.00,218.00,200.30,1003840.00
03/11/2017,214.10,ROS,206.00,214.30,200.60,1325840.00
02/11/2017,200.30,ROS,213.80,225.00,200.30,776380.00
01/11/2017,214.00,ROS,200.00,214.00,200.00,1465940.00
31/10/2017,200.00,ROS,206.00,220.00,195.10,1063370.00
30/10/2017,209.70,ROS,196.00,209.70,188.00,675620.00
27/10/2017,196.00,ROS,190.00,196.20,186.00,1188240.00
26/10/2017,183.40,ROS,163.00,184.00,163.00,1493370.00
25/10/2017,172.00,ROS,163.00,172.30,153.00,1543240.00
24/10/2017,161.30,ROS,142.10,161.30,142.10,1587540.00
23/10/2017,150.80,ROS,141.40,151.00,132.00,2598650.00
20/10/2017,141.30,ROS,132.10,141.30,123.20,4290470.00
19/10/2017,132.10,ROS,123.50,132.10,123.40,4807320.00
18/10/2017,123.50,ROS,115.60,123.50,115.60,2163520.00
17/10/2017,115.50,ROS,115.10,115.60,115.00,1646130.00
