DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,8.10,SHB,7.90,8.30,7.90,18790343.00
16/11/2017,7.90,SHB,8.00,8.00,7.90,7007172.00
15/11/2017,8.00,SHB,7.80,8.00,7.80,3412629.00
14/11/2017,7.90,SHB,7.80,8.00,7.70,8747657.00
13/11/2017,7.80,SHB,7.80,7.90,7.70,3907761.00
10/11/2017,7.90,SHB,7.90,7.90,7.80,3577296.00
09/11/2017,7.80,SHB,7.90,8.00,7.80,4120643.00
08/11/2017,7.90,SHB,7.10,8.00,7.10,7129844.00
07/11/2017,7.80,SHB,7.80,7.90,7.70,3671254.00
06/11/2017,7.80,SHB,7.80,7.90,7.70,6908876.00
03/11/2017,7.80,SHB,7.90,7.90,7.60,6419720.00
02/11/2017,7.80,SHB,8.00,8.00,7.80,2759769.00
01/11/2017,7.90,SHB,7.10,8.00,7.10,12190433.00
31/10/2017,7.80,SHB,7.90,8.00,7.80,3832762.00
30/10/2017,7.90,SHB,8.00,8.10,7.90,4545551.00
27/10/2017,8.00,SHB,7.90,8.00,7.80,4591384.00
26/10/2017,7.90,SHB,8.10,8.10,7.80,7433889.00
25/10/2017,8.10,SHB,8.00,8.10,8.00,2638398.00
24/10/2017,8.00,SHB,8.00,8.10,7.90,5245120.00
23/10/2017,8.00,SHB,8.10,8.20,7.90,8605317.00
20/10/2017,8.10,SHB,8.20,8.30,8.10,5767178.00
19/10/2017,8.20,SHB,8.20,8.30,8.10,4956059.00
18/10/2017,8.20,SHB,8.30,8.50,8.20,12302837.00
17/10/2017,8.30,SHB,8.10,8.30,8.00,13640310.00
