DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/11/2017,24.50,SSI,24.70,24.80,24.25,3145030.00
16/11/2017,24.60,SSI,24.10,24.60,24.00,3823680.00
15/11/2017,24.25,SSI,24.00,24.40,24.00,2064670.00
14/11/2017,24.30,SSI,24.20,24.50,23.75,2988570.00
13/11/2017,24.05,SSI,23.30,24.05,23.15,3562920.00
10/11/2017,23.30,SSI,23.25,23.45,23.15,1729980.00
09/11/2017,23.35,SSI,23.10,23.45,23.10,2422140.00
08/11/2017,23.05,SSI,23.00,23.10,22.90,1688320.00
07/11/2017,23.00,SSI,23.20,23.20,22.90,1751460.00
06/11/2017,23.10,SSI,22.80,23.10,22.80,1455830.00
03/11/2017,22.80,SSI,22.50,22.80,22.50,1445110.00
02/11/2017,22.55,SSI,22.50,23.00,22.40,4224030.00
01/11/2017,22.20,SSI,22.60,22.70,21.90,4748180.00
31/10/2017,22.60,SSI,22.80,23.00,22.60,2300130.00
30/10/2017,22.85,SSI,23.30,23.40,22.85,2919480.00
27/10/2017,23.20,SSI,23.00,23.20,22.90,1703920.00
26/10/2017,23.20,SSI,23.40,23.50,22.80,3117300.00
25/10/2017,23.40,SSI,23.60,23.60,23.35,1940490.00
24/10/2017,23.35,SSI,23.65,23.75,23.35,3195190.00
23/10/2017,23.60,SSI,24.20,24.20,23.60,4844710.00
20/10/2017,24.30,SSI,24.50,24.75,24.30,2588670.00
19/10/2017,24.50,SSI,24.90,25.00,24.50,2360570.00
18/10/2017,24.85,SSI,25.00,25.25,24.85,7487940.00
17/10/2017,24.80,SSI,24.40,24.80,24.35,2378250.00
